date,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,trailingSaleOfInvestment,annualSaleOfInvestment,annualStockholdersEquity,quarterlyNetIncomeContinuousOperations,annualDilutedAverageShares,annualDepreciationAndAmortization,quarterlyNetIncome,quarterlyOperatingCashFlow,annualInvestingCashFlow,annualPurchaseOfInvestment,quarterlyCapitalExpenditure,annualPurchaseOfBusiness,trailingCashDividendsPaid,trailingPretaxIncome,quarterlyTaxProvision,trailingNetIncome,quarterlyNetPPE,annualBasicAverageShares,quarterlyDilutedEPS,annualOtherIntangibleAssets,annualDilutedEPS,quarterlyChangeInCashSupplementalAsReported,annualOperatingCashFlow,annualNetPPE,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDilutedAverageShares,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,annualNetOtherInvestingChanges,annualCapitalStock,quarterlyFreeCashFlow,annualTotalRevenue,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualEndCashPosition,trailingInterestExpense,trailingPurchaseOfInvestment,trailingTotalRevenue,trailingEndCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualPretaxIncome,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,trailingInvestingCashFlow,quarterlyInterestExpense,trailingCapitalExpenditure,annualAccountsPayable,annualBasicEPS,quarterlyCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,quarterlyOperatingIncome,annualInvestmentsAndAdvances,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,annualCapitalExpenditure,quarterlyGrossPPE,quarterlyBasicEPS,annualCashAndCashEquivalents,quarterlyBasicAverageShares,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualNetIncomeContinuousOperations,trailingBeginningCashPosition,annualInterestExpense,annualNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetIncomeCommonStockholders,quarterlyCashDividendsPaid,trailingOperatingExpense,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,annualCommonStockIssuance,trailingFreeCashFlow,quarterlyOperatingExpense,trailingOperatingCashFlow,quarterlyStockholdersEquity,annualRetainedEarnings,trailingNetIncomeCommonStockholders,quarterlyRepaymentOfDebt,annualTaxProvision,annualCashDividendsPaid,quarterlySellingGeneralAndAdministration,annualBeginningCashPosition,annualNetIncome,quarterlyNetOtherInvestingChanges,annualTotalAssets,annualOtherNonCashItems,trailingTaxProvision,annualSellingGeneralAndAdministration,annualOtherShortTermInvestments,quarterlyCostOfRevenue,annualCostOfRevenue,annualTotalNonCurrentAssets,annualChangesInAccountReceivables,quarterlyOtherNonCashItems,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGrossProfit,annualGrossProfit,annualLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,quarterlyStockBasedCompensation,annualResearchAndDevelopment,trailingBasicEPS,annualCurrentDebt,annualCashCashEquivalentsAndMarketableSecurities,trailingChangeInInventory,quarterlyChangeInWorkingCapital,annualEbitda,annualGoodwill,quarterlyTotalNonCurrentAssets,annualCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,quarterlyGoodwill,quarterlyOtherShortTermInvestments,trailingRepurchaseOfCapitalStock,annualOtherIncomeExpense,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyEbitda,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,trailingOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCommonStockIssuance,annualOtherCurrentAssets,quarterlyIncomeTaxPayable,annualStockBasedCompensation,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,annualAccountsReceivable,trailingOtherIncomeExpense,annualInventory,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,annualNonCurrentDeferredRevenue,annualCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,annualChangeInInventory,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,trailingDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualChangeInAccountPayable,annualIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,trailingGrossProfit,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingDilutedEPS,annualAccumulatedDepreciation,trailingResearchAndDevelopment,annualRepurchaseOfCapitalStock,quarterlyCurrentDebt,trailingChangeInWorkingCapital,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,trailingCostOfRevenue,quarterlyInventory,quarterlyCurrentAccruedExpenses,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,annualCurrentAssets,annualOtherCurrentLiabilities,quarterlyLongTermDebt,annualOtherNonCurrentLiabilities,quarterlyChangeInAccountPayable,annualOtherNonCurrentAssets,annualCurrentDeferredRevenue
2013-06-30,938583000000.0,0.0,,,,17168000000.0,,,17121000000.0,54754000000.0,,,-1598000000.0,,,,5009000000.0,,48734000000.0,,,,,4587000000.0,,,,0.0,,74263000000.0,,246383000000.0,1497000000.0,,,53156000000.0,,,,,,,,,5717602000000.0,17121000000.0,,,,,-135252000000.0,86557000000.0,,30898000000.0,,,,1208954000000.0,5319444000000.0,,58399000000.0,22172000000.0,,,42625000000.0,,48734000000.0,,,,,,,,,,-50083000000.0,250970000000.0,,-80000000.0,,,46977000000.0,,,22177000000.0,,,16973000000.0,,396371000000.0,,,0.0,,,11374000000.0,,,8112000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,952508000000.0,89000000.0,,,,13922000000.0,,,13879000000.0,48976000000.0,,,-1911000000.0,,,,3561000000.0,,52204000000.0,,0.19,,,31154000000.0,,,,89000000.0,73047368421.0,74263000000.0,,250970000000.0,1456000000.0,,,47065000000.0,,,,,,,,,5768040000000.0,13879000000.0,,,,,-80772000000.0,75474000000.0,,33065000000.0,,,,384165000000.0,5357485000000.0,,60636000000.0,17330000000.0,,,39410000000.0,,52204000000.0,0.19,,73047368421.0,,,,,,,-7335000000.0,282124000000.0,,-18915000000.0,,,60504000000.0,,,17483000000.0,,,17123000000.0,,408665000000.0,,,-5313000000.0,,,12897000000.0,,,9544000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,965522000000.0,0.0,,266410000000.0,419561000000.0,13621000000.0,74160714286.0,4635000000.0,13589000000.0,23879000000.0,-171492000000.0,-422563000000.0,-8867000000.0,,,,3745000000.0,,57179000000.0,74160714286.0,,1461000000.0,0.84,-38730000000.0,139183000000.0,57179000000.0,83429000000.0,0.0,,74263000000.0,,282124000000.0,1461000000.0,32181000000.0,74263000000.0,15012000000.0,164435000000.0,-28204000000.0,-15533000000.0,243394000000.0,,,,,5960937000000.0,13589000000.0,79909000000.0,79516000000.0,,57179000000.0,-103633000000.0,39349000000.0,,35488000000.0,,59812000000.0,0.84,1191028000000.0,5539453000000.0,,59812000000.0,17157000000.0,965522000000.0,,40213000000.0,-16132000000.0,57179000000.0,,1191028000000.0,,,65761000000.0,62461000000.0,,128634000000.0,265000000.0,-72492000000.0,243394000000.0,62295000000.0,-1708000000.0,,5539453000000.0,67330000000.0,123051000000.0,,17366000000.0,265000000.0,,17619000000.0,,419561000000.0,67330000000.0,,-648000000.0,17448000000.0,-21458000000.0,13521000000.0,271598000000.0,62295000000.0,7261000000.0,5960937000000.0,-18613000000.0,,46440000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,970748000000.0,0.0,,,,18758000000.0,,,18690000000.0,-61745000000.0,,,-3433000000.0,,,,5369000000.0,,59237000000.0,,0.25,,,-49862000000.0,,,,,74760000000.0,74263000000.0,,243394000000.0,1599000000.0,,,-65178000000.0,,,,,,,,,5979360000000.0,18690000000.0,,,,,-75902000000.0,82539000000.0,,37524000000.0,,,,339225000000.0,5537624000000.0,,60737000000.0,23967000000.0,,,44728000000.0,,59237000000.0,0.25,,74760000000.0,,,,,,,3326000000.0,193532000000.0,,-826000000.0,,,86010000000.0,,,24127000000.0,,,15198000000.0,,439756000000.0,,,-24709000000.0,,,10642000000.0,,,10102000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,969671000000.0,0.0,,,,18137000000.0,,,18083000000.0,51504000000.0,,,-3675000000.0,,,,4931000000.0,,61241000000.0,,,,,59864000000.0,,,,,,74263000000.0,,193532000000.0,1619000000.0,,,47829000000.0,,,,,,,,,6283936000000.0,18083000000.0,,,,,-117958000000.0,117166000000.0,,38677000000.0,,,,1305620000000.0,5841390000000.0,,66458000000.0,22851000000.0,,,45695000000.0,,61241000000.0,,,,,,,,,,-4227000000.0,253396000000.0,,-344000000.0,,,49806000000.0,,,23068000000.0,,,17325000000.0,,440503000000.0,,,0.0,,,11978000000.0,,,11080000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,950837000000.0,24000000.0,,,,14799000000.0,,,14749000000.0,2995000000.0,,,-10761000000.0,,,,5021000000.0,,70364000000.0,,0.19,,,24630000000.0,,,,,77626315789.0,74263000000.0,,253396000000.0,1602000000.0,,,-7766000000.0,,,,,,,,,6212718000000.0,14749000000.0,,,,,-70956000000.0,94961000000.0,,38268000000.0,,,,340462000000.0,5754838000000.0,,70932000000.0,19701000000.0,,,44746000000.0,,70364000000.0,0.19,,77626315789.0,,,,,,,13478000000.0,278026000000.0,,-20922000000.0,,,64437000000.0,,,19820000000.0,,,17818000000.0,,455800000000.0,,,-15061000000.0,,,13929000000.0,,,21050000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,962491000000.0,-24000000.0,,509890000000.0,471055000000.0,14341000000.0,73988764045.0,5318000000.0,14328000000.0,56961000000.0,-23351000000.0,-507836000000.0,-7990000000.0,,,,3571000000.0,,69767000000.0,73988764045.0,,1707000000.0,0.89,35600000000.0,49715000000.0,69767000000.0,-2760000000.0,,,74263000000.0,,278026000000.0,1707000000.0,41458000000.0,74263000000.0,48971000000.0,177401000000.0,70232000000.0,-63785000000.0,313626000000.0,,,,,6268299000000.0,14328000000.0,84927000000.0,83842000000.0,,69767000000.0,-243020000000.0,215224000000.0,,39264000000.0,,70892000000.0,0.89,1284634000000.0,5794694000000.0,,70892000000.0,17323000000.0,962491000000.0,,42232000000.0,-25859000000.0,69767000000.0,,1284634000000.0,,,70693000000.0,66035000000.0,,153733000000.0,0.0,-35928000000.0,313626000000.0,65850000000.0,-1968000000.0,,5794694000000.0,71825000000.0,23856000000.0,,17912000000.0,,,20352000000.0,,471055000000.0,71825000000.0,,-24015000000.0,18892000000.0,-24060000000.0,16496000000.0,243394000000.0,65850000000.0,-774000000.0,6268299000000.0,-22431000000.0,,53045000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,1007751000000.0,267000000.0,,,,19053000000.0,,,18970000000.0,77025000000.0,,,-4816000000.0,,,,5558000000.0,,71735000000.0,,0.26,,,-6568000000.0,,,,267000000.0,72961538462.0,74263000000.0,,313626000000.0,1990000000.0,,,72209000000.0,,,,,,,,,6627239000000.0,18970000000.0,,,,,-135032000000.0,56509000000.0,,40092000000.0,,,,439400000000.0,6134400000000.0,,73603000000.0,24472000000.0,,,49405000000.0,,71735000000.0,0.26,,72961538462.0,,,,,,,-83094000000.0,307058000000.0,,-1764000000.0,,,90513000000.0,,,24611000000.0,,,19010000000.0,,489918000000.0,,,-30456000000.0,,,11892000000.0,,,10467000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,1170494000000.0,0.0,,,,18453000000.0,,,18354000000.0,278922000000.0,,,-5266000000.0,,,,5225000000.0,,75828000000.0,,,,,186731000000.0,,,,0.0,,74263000000.0,,307058000000.0,2012000000.0,,,273656000000.0,,,,,,,,,7122155000000.0,18354000000.0,,,,,-234058000000.0,149874000000.0,,41132000000.0,,,,1594784000000.0,6630355000000.0,,76169000000.0,23508000000.0,,,47317000000.0,,75828000000.0,,,,,,,,,,-89292000000.0,493789000000.0,,-10732000000.0,,,51328000000.0,,,23678000000.0,,,17687000000.0,,488779000000.0,,,-11220000000.0,,,12614000000.0,,,13293000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,1294150000000.0,14982000000.0,,,,14799000000.0,,,14716000000.0,-52613000000.0,,,-9104000000.0,,,,4299000000.0,,84352000000.0,,0.2,,,-158565000000.0,,,,0.0,73580000000.0,74263000000.0,,493789000000.0,1976000000.0,,,-61717000000.0,,,,,,,,,7206866000000.0,14716000000.0,,,,,-213209000000.0,65455000000.0,,39978000000.0,,,,421320000000.0,6684766000000.0,,75785000000.0,19152000000.0,,,49691000000.0,,84352000000.0,0.2,,73580000000.0,,,,,,,-155850000000.0,335224000000.0,,-12710000000.0,,,65973000000.0,,,19098000000.0,,,21706000000.0,,519011000000.0,,,7851000000.0,,,16703000000.0,,,13655000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,1372308000000.0,-48000000.0,,377299000000.0,534885000000.0,14526000000.0,73920000000.0,,14488000000.0,75788000000.0,-444389000000.0,-795491000000.0,-7581000000.0,,,,4099000000.0,,90393000000.0,73920000000.0,,2059000000.0,0.9,-4789000000.0,379122000000.0,90393000000.0,319784000000.0,10000000.0,,74263000000.0,,335224000000.0,2059000000.0,47247000000.0,74263000000.0,68207000000.0,193752000000.0,16809000000.0,-73514000000.0,330435000000.0,,,,,7155362000000.0,14488000000.0,86012000000.0,85712000000.0,,90393000000.0,-213192000000.0,105461000000.0,,39752000000.0,,74409000000.0,0.9,1455127000000.0,6617270000000.0,,74409000000.0,18580000000.0,1372308000000.0,,47339000000.0,-26767000000.0,90393000000.0,,1455127000000.0,,,79202000000.0,66831000000.0,,160954000000.0,15201000000.0,-116153000000.0,330435000000.0,66528000000.0,-3179000000.0,,6617270000000.0,73098000000.0,352355000000.0,,18625000000.0,277000000.0,,20799000000.0,,534885000000.0,73098000000.0,,-39689000000.0,19181000000.0,-28385000000.0,16802000000.0,313626000000.0,66528000000.0,9832000000.0,7155362000000.0,-28914000000.0,,58011000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,1469251000000.0,0.0,,,,19231000000.0,,,19066000000.0,-20314000000.0,,,-5767000000.0,,,,5476000000.0,,94002000000.0,,0.26,,,-95861000000.0,,,,,73330769231.0,74263000000.0,,330435000000.0,2100000000.0,,,-26081000000.0,,,,,,,,,7404417000000.0,19066000000.0,,,,,-227800000000.0,127156000000.0,,38453000000.0,,,,522531000000.0,6847508000000.0,,76633000000.0,24640000000.0,,,56014000000.0,,94002000000.0,0.26,,73330769231.0,,,,,,,-106346000000.0,234574000000.0,,-1277000000.0,,,92085000000.0,,,24707000000.0,,,24492000000.0,,553664000000.0,,,-52469000000.0,,,12812000000.0,,,13771000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,1697036000000.0,0.0,,,,18692000000.0,,,18595000000.0,246316000000.0,,,-6083000000.0,,,,5098000000.0,,98170000000.0,,,,,126829000000.0,,,,,,74263000000.0,,234574000000.0,2181000000.0,,,240233000000.0,,,,,,,,,7956322000000.0,18595000000.0,,,,,-500217000000.0,313634000000.0,,37760000000.0,,,,1610414000000.0,7400828000000.0,,78106000000.0,23664000000.0,,,47287000000.0,,98170000000.0,,,,,,,,,,-193060000000.0,361403000000.0,,-215000000.0,,,78094000000.0,,,23790000000.0,,,15375000000.0,,552515000000.0,,,-35891000000.0,,,13154000000.0,,,18304000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,1809897000000.0,44952000000.0,,,,14994000000.0,,,14917000000.0,-84200000000.0,,,-10064000000.0,,,,3930000000.0,,104180000000.0,,0.2,,,-114155000000.0,,,,,74585000000.0,74263000000.0,,361403000000.0,2146000000.0,,,-94264000000.0,,,,,,,,,8091810000000.0,14917000000.0,,,,,-161190000000.0,59788000000.0,,38773000000.0,,,,576797000000.0,7472932000000.0,,82638000000.0,18550000000.0,,,43932000000.0,,104180000000.0,0.2,,74585000000.0,,,,,,,-109820000000.0,247248000000.0,,-24931000000.0,,,92996000000.0,,,18924000000.0,,,18982000000.0,,615819000000.0,,,-74052000000.0,,,17575000000.0,,,17599000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1967362000000.0,0.0,,608057000000.0,629142000000.0,14734000000.0,75516853933.0,,14632000000.0,343264000000.0,-584945000000.0,-1158997000000.0,-13670000000.0,-853000000.0,,,3955000000.0,,114425000000.0,75516853933.0,,2188000000.0,0.89,69148000000.0,485066000000.0,114425000000.0,433621000000.0,,,74263000000.0,,247248000000.0,2188000000.0,62021000000.0,74263000000.0,329594000000.0,193033000000.0,-14039000000.0,-2719000000.0,316396000000.0,,,,,8403166000000.0,14632000000.0,86110000000.0,85350000000.0,,114425000000.0,-269790000000.0,107479000000.0,,39987000000.0,,79635000000.0,0.89,1639179000000.0,7770759000000.0,,79635000000.0,18496000000.0,1967362000000.0,,45800000000.0,-35584000000.0,114425000000.0,,1639179000000.0,,,77567000000.0,67651000000.0,,154973000000.0,44952000000.0,-175719000000.0,316396000000.0,67210000000.0,1518000000.0,,7770759000000.0,100698000000.0,449482000000.0,,18689000000.0,,,18718000000.0,,629142000000.0,100698000000.0,,159693000000.0,18459000000.0,-24905000000.0,16748000000.0,330435000000.0,67210000000.0,12347000000.0,8403166000000.0,-30212000000.0,,60289000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,2031816000000.0,0.0,,,,19450000000.0,,,19323000000.0,47254000000.0,,,-4432000000.0,,,,4562000000.0,,116600000000.0,,0.26,,,-7406000000.0,,,,,74319230769.0,74263000000.0,,316396000000.0,2275000000.0,,,42822000000.0,,,,,,,,,8733711000000.0,19323000000.0,,,,,-151007000000.0,104288000000.0,,44771000000.0,,,,621353000000.0,8081553000000.0,,86590000000.0,23978000000.0,,,54855000000.0,,116600000000.0,0.26,,74319230769.0,,,,,,,-51071000000.0,308990000000.0,,-1154000000.0,,,119897000000.0,,,24012000000.0,,,23048000000.0,,648789000000.0,,,-21030000000.0,,,12741000000.0,,,17170000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,2066900000000.0,1969000000.0,,,,19772000000.0,,,19652000000.0,-1104000000.0,,,-7776000000.0,,,,3571000000.0,,121666000000.0,,,,,-9083000000.0,,,,,,74263000000.0,,308990000000.0,2378000000.0,,,-8880000000.0,,,,,,,,,8930838000000.0,19652000000.0,,,,,-147767000000.0,115088000000.0,,46902000000.0,,,,1647533000000.0,8282430000000.0,,88757000000.0,23219000000.0,,,48782000000.0,,121666000000.0,,,,,,,,,,-40103000000.0,299907000000.0,,-395000000.0,,,100556000000.0,,,23343000000.0,,,18501000000.0,,643250000000.0,,,-3026000000.0,,,14279000000.0,,,25233000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,2118483000000.0,0.0,,,,15570000000.0,,,15444000000.0,-17481000000.0,,,-6571000000.0,,,,3011000000.0,,125781000000.0,,0.21,,,-66114000000.0,,,,,73542857143.0,74263000000.0,,299907000000.0,2489000000.0,,,-24052000000.0,,,,,,,,,8935790000000.0,15444000000.0,,,,,-121991000000.0,106098000000.0,,48478000000.0,,,,697252000000.0,8272291000000.0,,93533000000.0,18210000000.0,,,46042000000.0,,125781000000.0,0.21,,73542857143.0,,,,,,,-22282000000.0,233793000000.0,,-25797000000.0,,,115988000000.0,,,18581000000.0,,,20853000000.0,,658244000000.0,,,-4850000000.0,,,17188000000.0,,,19843000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,2177907000000.0,-25000000.0,,435450000000.0,671143000000.0,15899000000.0,77168131868.0,,15804000000.0,-17942000000.0,-122959000000.0,-530249000000.0,-10492000000.0,,,,1430000000.0,,132492000000.0,77168131868.0,,3162000000.0,0.91,-4874000000.0,10727000000.0,132492000000.0,-40552000000.0,,,134139000000.0,,233793000000.0,3162000000.0,80397000000.0,134139000000.0,-28434000000.0,195756000000.0,-87477000000.0,-29395000000.0,228919000000.0,,,,,9038254000000.0,15804000000.0,83265000000.0,,,132492000000.0,-109484000000.0,109976000000.0,,50001000000.0,,92579000000.0,0.91,1653762000000.0,8361983000000.0,,92579000000.0,17666000000.0,2177907000000.0,,46077000000.0,-29271000000.0,132492000000.0,,1653762000000.0,,,81469000000.0,70691000000.0,,190152000000.0,1944000000.0,-9503000000.0,228919000000.0,70223000000.0,-4716000000.0,,8361983000000.0,124514000000.0,-18544000000.0,,17329000000.0,,,19067000000.0,,671143000000.0,124514000000.0,,-489000000.0,12574000000.0,-32062000000.0,16197000000.0,316396000000.0,70223000000.0,18151000000.0,9038254000000.0,-31469000000.0,,60405000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,349255000000.0,,,,,20232000000.0,,,20091000000.0,13920000000.0,,,-4470000000.0,,,,3153000000.0,,134395000000.0,,0.27,,,-34829000000.0,,,,,74411111111.0,134139000000.0,,228919000000.0,3235000000.0,,,9450000000.0,,,,,,,,,9266797000000.0,20091000000.0,,,,,-157603000000.0,112254000000.0,,54959000000.0,,,,691082000000.0,8598296000000.0,,99540000000.0,,,,49022000000.0,,134395000000.0,0.27,,74411111111.0,,,,,,,-49579000000.0,194090000000.0,,-666000000.0,,,116164000000.0,,,23385000000.0,,,18729000000.0,,663336000000.0,,,-4895000000.0,,,13395000000.0,,,17409000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,350314000000.0,,,,,20762000000.0,,,20680000000.0,62287000000.0,,,-7715000000.0,,,,3323000000.0,,140056000000.0,,,,,56959000000.0,,,,,,134139000000.0,,194090000000.0,3092000000.0,,,54572000000.0,,,,,,,,,9322707000000.0,20680000000.0,,,,,-370380000000.0,357812000000.0,,54929000000.0,,,,1594266000000.0,8652646000000.0,,101728000000.0,,,,52692000000.0,,140056000000.0,,,,,,,,,,-20221000000.0,251049000000.0,,-1769000000.0,,,103913000000.0,,,24085000000.0,,,19020000000.0,,663653000000.0,,,0.0,,,15178000000.0,,,24836000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,359742000000.0,0.0,,,,16679000000.0,,,16533000000.0,50081000000.0,,,-10448000000.0,,,,2378000000.0,,147249000000.0,,0.23,,,-53726000000.0,,,,,71882608696.0,134139000000.0,,251049000000.0,3089000000.0,,,39633000000.0,,,,,,,,,9391537000000.0,16533000000.0,,,,,-238410000000.0,169326000000.0,,54875000000.0,,,,660638000000.0,8702452000000.0,,106953000000.0,,,,55932000000.0,,147249000000.0,0.23,,71882608696.0,,,,,,,-78813000000.0,197323000000.0,,-21714000000.0,,,120321000000.0,,,19057000000.0,,,23490000000.0,,682458000000.0,,,-10000000000.0,,,18993000000.0,,,20803000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
