,annualOtherCurrentLiabilities,annualGrossPPE,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualEbitda,annualInterestExpense,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyCashAndCashEquivalents,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,trailingCapitalExpenditure,quarterlyCapitalStock,annualRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,trailingInterestExpense,annualChangeInInventory,annualStockBasedCompensation,quarterlyNetPPE,trailingTaxProvision,annualInventory,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,annualCurrentDebt,annualNetOtherFinancingCharges,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingFreeCashFlow,trailingOperatingExpense,quarterlyRetainedEarnings,annualGrossProfit,annualAccumulatedDepreciation,annualCostOfRevenue,quarterlyOtherCurrentLiabilities,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualDilutedAverageShares,quarterlyAccumulatedDepreciation,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,trailingCostOfRevenue,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncome,quarterlyCurrentAssets,quarterlyBasicEPS,trailingCashDividendsPaid,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,annualRetainedEarnings,annualNetOtherInvestingChanges,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyLongTermDebt,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualNetIncome,quarterlyTotalAssets,annualGoodwill,annualOtherShortTermInvestments,annualFreeCashFlow,annualDilutedEPS,annualBasicEPS,annualCommonStockIssuance,annualPretaxIncome,annualInvestingCashFlow,annualOperatingIncome,annualTotalRevenue,annualAccountsPayable,trailingInvestingCashFlow,annualPurchaseOfInvestment,annualAccountsReceivable,annualOtherCurrentAssets,annualStockholdersEquity,annualLongTermDebt,annualBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualDepreciationAndAmortization,annualEndCashPosition,annualTotalAssets,annualTaxProvision,annualCurrentLiabilities,quarterlyInventory,annualCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyCurrentDebt,annualSaleOfInvestment,trailingEndCashPosition,trailingOperatingIncome,annualOtherNonCurrentAssets,annualNetPPE,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingCashFlow,annualRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentAssets,quarterlyOtherNonCurrentAssets,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlyNetIncome,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,trailingRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,trailingOtherNonCashItems,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,trailingNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,annualChangesInAccountReceivables,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingBasicEPS,quarterlyCashDividendsPaid,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,quarterlyNetOtherInvestingChanges,trailingChangeInWorkingCapital,trailingChangesInAccountReceivables,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,trailingChangeInInventory,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,trailingDilutedEPS,quarterlyStockBasedCompensation,trailingPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,trailingResearchAndDevelopment,annualIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,trailingDepreciationAndAmortization,quarterlyGrossProfit,trailingOtherIncomeExpense,quarterlyEbitda,annualResearchAndDevelopment,quarterlyChangeInInventory,trailingDilutedAverageShares
1293753600,0.0,37889071105.05209,4835524628.310704,4767346628.61651,,,6718941869.862811,,7267774767.401072,295722073.673566,186637274.162856,44811694749.00131,16975469698.85811,-3440432309.568261,11991657921.212534,2043635540.833463,11991657921.212534,,,1786263591.987881,,2043635540.833463,-4428161080.137895,78404699.648323,27676858975.858025,26264722157.19203,,-3992674107.091232,,26878324154.439777,,13316867790.268429,3082497811.173743,-847111646.20036,-389466823.253083,3537585959.132487,0.0,31956732906.66105,37889071105.05209,,,10845415301.353899,19025070814.664814,-11010746950.61232,54886698653.81082,0.0,14501460534.955048,,2622541008.0,-11010746950.61232,,,,1786263591.987881,41003101241.084404,,31378924359.252754,,,5753370949.19379,44811694749.00131,8227380113.096852,10845415301.353899,139764899.373098,,0.0,1342254368.979443,6952451518.815425,-1001364370.508473,295722073.673566,4835524628.310704,76190619108.25406,8227380113.096852,0.0,2507245938.753982,1.84317,1.85098,80109149.640678,4271351680.841249,59655749.73242,4523610279.709767,73911769468.47563,27676858975.858025,,,5753370949.19379,78404699.648323,26264722157.19203,6952451518.815425,2615716528.0,9046368334.423355,,2195331590.153044,11991657921.212534,76190619108.25406,1188853869.667507,31956732906.66105,13316867790.268429,11991657921.212534,,3537585959.132487,11078924.950307,,,-39202349.824162,26878324154.439777,186637274.162856,9046368334.423355,5947678248.322243,-179819474.193436,41003101241.084404,31378924359.252754,-39202349.824162,,11991657921.212534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,,,,,,,,,388260323.049048,,,,13405373552.126034,,13405373552.126034,,,1958760858.894129,,1994510738.746611,,41569627.735444,31595411256.60169,26562160730.39411,,,,28574962105.344315,,,,,,,,33419486521.632977,,,,11108235923.46539,,,,0.0,,,,,,,,,,,34618354585.523186,0.0,,7342027650.634148,47002778080.46671,8190048056.437208,,,,,,9995832685.264902,,303458282.468742,,81621132665.9899,,,,,,,,,,,,,,,,,,,12258051826.627773,,,,,,,13479367489.495123,,0.0,1172263502.139525,,,,,,,,,,45677538348.26075,,-20784813.867722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,0.0,44763133394.285126,2292017461.400775,3632264960.016483,,,6914900137.78539,181289516.720965,11388057097.235277,430562602.212293,250891741.890622,50854137424.8297,19847964768.147106,-5743802232.89594,14775095612.75867,1941578350.953552,14775095612.75867,,,2020083186.319327,,1941578350.953552,-4910194187.259358,82551476.364011,36813911817.350655,29422317369.973087,,-4161565602.58573,,31612359478.21832,,16765233655.691051,3132100132.634534,-1112826274.514854,-1451125461.967369,5739755591.897704,2606846131.063523,43053832236.63031,44763133394.285126,,,13916398392.933025,22140791557.74753,-13150773916.066807,67018040228.18291,0.0,17576180511.73751,,2623067322.0,-13150773916.066807,,,,2020083186.319327,52336826686.583305,,41125203136.87112,,,9252239978.366405,50854137424.8297,8704324787.205275,13916398392.933025,243607788.093797,,,1807229869.812123,6832348661.421379,-1028656141.751548,430562602.212293,2292017461.400775,91979340561.7008,8704324787.205275,,568148396.152311,0.875197,0.875197,8902610.196119,4391414811.285525,-6481909550.974156,4564611046.010018,89158831785.93044,36813911817.350655,,,9252239978.366405,82551476.364011,29422317369.973087,6832348661.421379,2617689641.0,9282994449.952997,,2342195809.7789,14775095612.75867,91979340561.7008,1259314678.650991,43053832236.63031,16765233655.691051,14775095612.75867,,5739755591.897704,0.0,,,-41275738.182005,31612359478.21832,250891741.890622,9282994449.952997,6311950629.048251,-67983568.770362,52336826686.583305,41125203136.87112,-41275738.182005,,14775095612.75867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,,,,,,,,,,,246887466.085802,,,,19975738701.17483,,19975738701.17483,,,1098280123.2189,,1968537935.567857,,335471673.186356,39338769969.90417,32152786280.94167,,,,34319818458.345955,,,,,,,,47528708006.00628,34319818458.345955,,,16518493951.833782,,,,0.0,,,,,,,,,,,44319170946.89085,0.0,,7963556173.511803,58368790237.866615,12202474528.101255,,,,,,10675217179.756527,,579898466.852698,,102687961184.75746,,,,,,,,,,,,,,,,,,,12353395769.828125,,,,,,,15994370726.48884,,0.0,7656792345.219145,,,,,,,,,,59882103775.834404,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,0.0,49276218389.20322,3176487492.163252,-1793970629.287636,,,5647625670.477326,290674774.314559,14699608531.541782,538674304.754681,237532017.791675,61179390657.04843,22460061370.444042,-7172661744.027947,12887118456.7992,0.0,12887118456.7992,,,1206984727.693971,,0.0,-7323232887.509449,314830572.734051,16335761277.822067,32805184640.231995,,-688440254.955534,,35618529962.82221,,17103915667.561926,4043680655.42303,-330934438.347046,-1752100578.69385,3521915409.561994,-70051815.416528,46849365841.32488,49276218389.20322,,,17299577634.759815,24478680925.03296,-13657688426.381008,77165698051.06851,0.0,22460061370.444042,,2622982135.0,-13657688426.381008,,,,1206984727.693971,59345965557.00896,,41473090306.42652,,,1149010811.487189,61179390657.04843,12036029159.152418,17299577634.759815,350259077.08264,,,3039604634.452795,10750940683.235422,-908258020.572915,538674304.754681,3176487492.163252,102652480963.47495,12036029159.152418,,24960991.700142,1.210161,1.210161,16909058.893645,5356950896.162767,-8777411952.362892,2018619554.588916,101644378976.10147,16335761277.822067,,-2870514045.516348,1149010811.487189,314830572.734051,32805184640.231995,10750940683.235422,2619244487.0,12496599715.684074,,2650696279.898967,12887118456.7992,102652480963.47495,1313270240.739737,46849365841.32488,17103915667.561926,12887118456.7992,,3521915409.561994,4025966.403249,,,0.0,35618529962.82221,237532017.791675,12496599715.684074,7197622735.728089,-70051815.416528,59345965557.00896,41473090306.42652,0.0,,12887118456.7992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,,,,,,,,,,247953671.318529,,,,17046814903.14887,,17046814903.14887,,,1311293454.088375,,0.0,,285305666.67741,48590972345.37661,32972275222.225803,,,,37879691633.73836,,,,,,,,52194247812.55036,37879691633.73836,,,17472786594.901215,,,,0.0,,,,,,,,,,,46201239365.71373,0.0,,12215691928.965096,62890428781.38396,12025753058.948658,,,,1589446.611016,,11492493720.952719,,555511590.550166,,109091668147.09769,,,,,,,,,,,,,,,,,,,13359298765.591259,,,,,,,16505608332.09785,,0.0,2854646113.385116,,,,,,,,,,65553546578.14162,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,5391707357.95656,58761796133.09179,1490924295.50451,3852335836.916789,,,4182089533.301958,239110500.222421,12506416849.868805,633720966.275764,439150657.271244,71930846003.18481,27112473941.88678,-5619096755.226902,16565825505.605663,0.0,16565825505.605663,,,1430755967.017168,,0.0,-3688240395.587676,1040833942.144658,20177488028.573086,34438944693.79993,,-2533321051.376111,,41543495896.48703,,19551581130.93204,2462994433.663634,3495232900.310101,-3797637356.473751,2623182840.675387,679823971.22061,57581871769.249115,58761796133.09179,,,17616817736.975456,29203518708.537758,-17218300236.604755,85204604392.9831,5391707357.95656,27112473941.88678,,2623862437.0,-17218300236.604755,,,,1430755967.017168,74763445883.27069,,49413044418.51319,,,1754258408.494562,71930846003.18481,15181172543.53334,17616817736.975456,425866740.592221,,,3789823287.839031,15117097180.72864,-525886819.116633,633720966.275764,1490924295.50451,121343890421.69801,15181172543.53334,,2804469233.000883,0.565723,0.565723,-338349171.883361,3942979033.079537,-7689824943.42761,2091044766.650979,114408123101.52084,20177488028.573086,,-1458886614.102159,1754258408.494562,1040833942.144658,34438944693.79993,15117097180.72864,2621759050.0,17181574114.021572,,3038891292.042473,16565825505.605663,121343890421.69801,1479984599.415902,57581871769.249115,19551581130.93204,16565825505.605663,,2623182840.675387,0.0,,,0.0,41543495896.48703,439150657.271244,17181574114.021572,8423565988.227785,-352414495.425856,74763445883.27069,49413044418.51319,0.0,,16565825505.605663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,,,,,,,,,,427726184.671192,,,,21527547148.197742,,21527547148.197742,,,1704484833.473943,,0.0,,116360781.946197,61936035521.43076,40540096430.05493,,,,51490047255.267715,,,,,,,,73410011109.47711,51490047255.267715,,,23867602597.543324,,,,0.0,,,,0.0,,,,,,,56696590381.2465,0.0,,14756954615.2318,87743251980.79448,16858671083.625519,,,,,,9819245019.956295,,2029492534.771941,,144439842362.041,,,,,,,,,,,,,,,,,,,13553222388.202179,,,,,,,20177762077.62186,,0.0,10713216820.563627,,,,,,,,,,86963233497.67929,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,0.0,73363802734.18114,-128742094.916434,-348643188.717797,,,5677446421.780634,329451820.531496,16952375231.232315,2614823915.383475,407816573.958891,92860633530.78049,34770760951.87145,-6983259098.79018,16510174122.606302,0.0,16510174122.606302,,,1795192565.760215,,0.0,-10938280225.850323,149532743.784927,21504727693.09107,38980067707.40008,,383027723.384919,,53539919038.07357,,22142041044.944473,232695339.258896,-493378090.456148,-809236025.189014,7216754078.390172,-7196763.069863,69052142014.99223,73363802734.18114,,,21814988145.436264,33940734277.813946,-19823883696.107563,101089732280.99802,0.0,34770760951.87145,,2630047076.0,-19823883696.107563,,,,1795192565.760215,89352611354.39293,,52165337291.72978,,,1787995802.690352,92860633530.78049,18274980355.404873,21814988145.436264,530961186.487654,,,354240671.105468,15890452858.257008,-220700734.142458,2614823915.383475,-128742094.916434,145025970822.51025,18274980355.404873,,-3573592684.357416,-0.051297,-0.051297,-81563314.791778,1472137867.957485,-2229397270.975269,-830026674.057507,135030466558.81197,21504727693.09107,,-202309006.297254,1787995802.690352,149532743.784927,38980067707.40008,15890452858.257008,2629275486.0,20300469339.400696,,3875856733.291652,16510174122.606302,145025970822.51025,1239442528.698589,69052142014.99223,22142041044.944473,16510174122.606302,,7216754078.390172,190314401.180816,,,0.0,53539919038.07357,407816573.958891,20300469339.400696,3409666414.432764,-95956840.931504,89352611354.39293,52165337291.72978,0.0,,16510174122.606302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,,,,,,,209104926.520094,,,,6499077256.440616,,6499077256.440616,,,331683676.549114,,0.0,,121777581.728177,19477202561.800766,35313095196.26887,,,,21247784506.6644,,,,,,,,83900747969.2099,21247784506.6644,,,18104801262.456245,,,,0.0,,,,,,,,,,,107975054241.24936,0.0,,1563880523.246065,31495528242.75068,8369805238.909655,,,,,,4071537304.885504,,596069215.827394,,139470582484.00003,,,,,,,,,,,,,,,,,,,4999290197.262013,,,,,,,7346713318.732797,,0.0,3244731618.415249,,,,,,,,,,88900038166.47191,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451520000,0.0,33592326014.44172,-3345332097.6093,-13854447948.672306,,,5585322926.421534,98810810.392465,17289379679.434093,601238659.845676,194272101.788575,31716595376.483063,7878906059.175444,-5488186875.527247,2801035260.701654,0.0,2801035260.701654,,,258750342.468404,,0.0,-8384683427.625011,124769582.614214,1500584510.366925,10051069128.311495,,3032152071.450131,,21379142373.983234,,6484668776.942783,1385863484.741775,-213531836.017615,0.0,1776919827.566191,-5024278.494532,18740558784.60479,33592326014.44172,,,4210345378.417912,9059611505.390491,-12213183640.458483,20098788737.626637,0.0,7878906059.175444,,2648328443.0,-12213183640.458483,,,,258750342.468404,23437421797.243225,,11030803434.745258,,,559369672.391242,31716595376.483063,8321879946.443359,4210345378.417912,-837379.749089,,,770389369.161591,3836874010.324358,-12241654551.927498,601238659.845676,-3345332097.6093,42747398811.22832,8321879946.443359,,-599563900.347499,-1.26621,-1.26621,308155747.664636,1797016941.54432,-2181374246.376026,1180705446.215047,29158400243.017128,1500584510.366925,,-107184607.883352,559369672.391242,124769582.614214,10051069128.311495,3836874010.324358,2648328443.0,4696863012.638438,,3689495174.48475,2801035260.701654,42747398811.22832,411153456.802545,18740558784.60479,6484668776.942783,2801035260.701654,,1776919827.566191,15072835.483596,,,0.0,21379142373.983234,194272101.788575,4696863012.638438,4888622975.179748,,23437421797.243225,11030803434.745258,0.0,,2801035260.701654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467244800,,,,,,,,,,,182000000.0,,,,4429000000.0,,4429000000.0,,,302000000.0,,0.0,,109000000.0,17596000000.0,10660000000.0,,,,21108000000.0,,,,,,,,18590000000.0,21108000000.0,,,7089000000.0,,,,0.0,,,,,,,,,,,12261000000.0,0.0,,1607000000.0,31555000000.0,8326000000.0,,,,,,3676000000.0,,734000000.0,,43816000000.0,,,,,,,,,,,,,,,,,,,4712000000.0,,,,,,,6077000000.0,,0.0,855000000.0,,,,,,,,,,23302000000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,0.0,34326000000.0,629000000.0,571000000.0,,,3564000000.0,104000000.0,2802000000.0,934000000.0,171000000.0,31602000000.0,8568000000.0,-1863000000.0,3487000000.0,0.0,3487000000.0,,,271000000.0,,0.0,-4435000000.0,103000000.0,1583000000.0,17601000000.0,,208000000.0,,20900000000.0,,6110000000.0,1419000000.0,-113000000.0,0.0,4314000000.0,-11092000000.0,20805000000.0,34326000000.0,,,5978000000.0,9673000000.0,-13426000000.0,19021000000.0,0.0,8568000000.0,,2873592085.0,-13426000000.0,,,,271000000.0,24963000000.0,,11028000000.0,,,689000000.0,31602000000.0,8422000000.0,5978000000.0,-52000000.0,,,1338000000.0,2953000000.0,0.0,934000000.0,629000000.0,42630000000.0,8422000000.0,,2457000000.0,0.22,0.22,8149000000.0,1739000000.0,-1564000000.0,1105000000.0,28694000000.0,1583000000.0,,0.0,689000000.0,103000000.0,17601000000.0,2953000000.0,2873592085.0,4158000000.0,,1721000000.0,3487000000.0,42630000000.0,320000000.0,20805000000.0,6110000000.0,3487000000.0,,4314000000.0,0.0,,,0.0,20900000000.0,171000000.0,4158000000.0,4320000000.0,,24963000000.0,11028000000.0,0.0,,3487000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498780800,,,,,,,,,,,159000000.0,,,,3934000000.0,,3934000000.0,,,245000000.0,,0.0,,90000000.0,18753000000.0,18572000000.0,,,,20704000000.0,,,,,,,,19431000000.0,20704000000.0,,,6891000000.0,,,,0.0,,,,,,,,,,,11268000000.0,0.0,,1343000000.0,31464000000.0,8375000000.0,,,,,,3039000000.0,,1384000000.0,,42732000000.0,,,,,,,,,,,,,,,,,,,4668000000.0,,,,,,,5860000000.0,,0.0,509000000.0,,,,,,,,,,24099000000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514678400,,35616000000.0,1175000000.0,-1078000000.0,,,1944000000.0,128000000.0,3487000000.0,1629000000.0,147000000.0,31265000000.0,8988000000.0,-1715000000.0,2361000000.0,0.0,2361000000.0,,,255000000.0,,0.0,-6609000000.0,,1616000000.0,18421000000.0,,,,20449000000.0,,5826000000.0,1186000000.0,,,2383000000.0,,19195000000.0,35616000000.0,,,,10029000000.0,-15167000000.0,19703000000.0,,8988000000.0,,3244176905.0,-15167000000.0,,,,255000000.0,22166000000.0,,9386000000.0,,,607000000.0,31265000000.0,8318000000.0,,457000000.0,,,,1087000000.0,-487000000.0,1629000000.0,1175000000.0,40651000000.0,8318000000.0,,2540000000.0,0.36,0.36,0.0,1816000000.0,-1163000000.0,1041000000.0,29732000000.0,1616000000.0,,-300000000.0,607000000.0,,18421000000.0,1087000000.0,3244176905.0,2971000000.0,,,2361000000.0,40651000000.0,630000000.0,19195000000.0,5826000000.0,2361000000.0,,2383000000.0,300000000.0,,,,20449000000.0,147000000.0,2971000000.0,4255000000.0,,22166000000.0,9386000000.0,,,2361000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530316800,,,,,,,,,,,136000000.0,,,,6398000000.0,,6398000000.0,,,331000000.0,,0.0,,,19506000000.0,19669000000.0,,,,20580000000.0,,,,,,,,22318000000.0,20580000000.0,,,,,,,,,,,,,,,,,,12873000000.0,0.0,,1018000000.0,31626000000.0,8331000000.0,,,,,,422000000.0,,1689000000.0,,44499000000.0,,,,,,,,,,,,,,,,,,,2442000000.0,,,,,,,5345000000.0,,0.0,2667000000.0,,,,,,,,,,24760000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546214400,,36704000000.0,977000000.0,-534000000.0,,,3238000000.0,52000000.0,2361000000.0,1583000000.0,124000000.0,30821000000.0,10611000000.0,-1247000000.0,1858000000.0,0.0,1858000000.0,,,399000000.0,,0.0,-3729000000.0,,2340000000.0,18848000000.0,,107000000.0,,19632000000.0,,5379000000.0,985000000.0,-107000000.0,,701000000.0,,18370000000.0,36704000000.0,,,,11198000000.0,-17072000000.0,20669000000.0,,10424000000.0,,3244176905.0,-17072000000.0,,,,399000000.0,20361000000.0,,8450000000.0,,,443000000.0,30821000000.0,8390000000.0,,123000000.0,,,542000000.0,,-519000000.0,1583000000.0,977000000.0,39271000000.0,8390000000.0,,2687000000.0,0.3,0.3,,1532000000.0,-1014000000.0,774000000.0,31867000000.0,2340000000.0,,,443000000.0,,18848000000.0,,3244176905.0,1991000000.0,,1654000000.0,1858000000.0,39271000000.0,547000000.0,18370000000.0,5379000000.0,1858000000.0,,701000000.0,,,,,19632000000.0,124000000.0,1991000000.0,3934000000.0,,20361000000.0,8450000000.0,,,1858000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561852800,,,,,1340000000.0,-2373000000.0,,,,,492000000.0,,,,4061000000.0,,4061000000.0,12000000000.0,4611000000.0,685000000.0,-1205000000.0,0.0,,,20643000000.0,20622000000.0,41000000.0,,,20841000000.0,761000000.0,,,,,,,22336000000.0,20841000000.0,3406000000.0,10679000000.0,,,,,,,10866000000.0,,,1343000000.0,6398000000.0,21127000000.0,,,1340000000.0,11941000000.0,,-389000000.0,1010000000.0,33527000000.0,9461000000.0,,,86000000.0,,,0.0,,1576000000.0,,45468000000.0,,,,,,,,,,,,-4625000000.0,,,,,,,2447000000.0,33127000000.0,,,,,,5219000000.0,,,1311000000.0,,4025000000.0,1321000000.0,,,,,,,24783000000.0,,,2104000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
