,quarterlyNetIncome,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,trailingInvestingCashFlow,trailingPurchaseOfInvestment,annualLongTermDebt,annualOtherNonCashItems,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,trailingPretaxIncome,quarterlyResearchAndDevelopment,annualNonCurrentDeferredTaxesLiabilities,annualNonCurrentDeferredRevenue,trailingCashDividendsPaid,annualTotalAssets,trailingNetIncome,annualStockholdersEquity,quarterlyAccountsReceivable,annualCurrentLiabilities,quarterlyGoodwill,trailingStockBasedCompensation,trailingChangeInInventory,quarterlyCostOfRevenue,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentAccruedExpenses,annualDepreciationAndAmortization,quarterlyCommonStockIssuance,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualInventory,annualRetainedEarnings,quarterlyLongTermDebt,annualDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInWorkingCapital,annualCapitalStock,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualAccountsReceivable,annualSaleOfInvestment,annualGoodwill,annualCommonStockIssuance,annualStockBasedCompensation,annualOtherIncomeExpense,quarterlyCashDividendsPaid,annualNetPPE,trailingGrossProfit,annualGainsLossesNotAffectingRetainedEarnings,annualOtherShortTermInvestments,annualOperatingIncome,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualChangeInAccountPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,annualEbitda,trailingTotalRevenue,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,trailingChangeInCashSupplementalAsReported,trailingEndCashPosition,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCurrentDebt,annualGrossPPE,quarterlyNetOtherFinancingCharges,annualPretaxIncome,annualOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualIncomeTaxPayable,trailingOperatingIncome,annualInvestmentsAndAdvances,trailingOtherIncomeExpense,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,annualOtherNonCurrentAssets,annualDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingSellingGeneralAndAdministration,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,quarterlyIncomeTaxPayable,trailingOperatingExpense,quarterlySaleOfInvestment,trailingCapitalExpenditure,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualCapitalExpenditure,trailingDeferredIncomeTax,annualChangesInAccountReceivables,trailingInterestExpense,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,annualCurrentAccruedExpenses,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyStockBasedCompensation,annualRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyChangeInInventory,trailingResearchAndDevelopment,quarterlyGrossProfit,trailingChangesInAccountReceivables,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyInvestingCashFlow,annualInterestExpense,trailingFreeCashFlow,annualTotalNonCurrentAssets,annualGrossProfit,quarterlyPretaxIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingExpense,annualDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualOtherCurrentAssets,trailingChangeInAccountPayable,annualChangeInWorkingCapital,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,quarterlyTaxProvision,annualTaxProvision,quarterlyRetainedEarnings,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualChangeInInventory,quarterlyTotalRevenue,quarterlyDilutedAverageShares,annualBasicEPS,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,trailingTaxProvision,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualCashDividendsPaid,annualCurrentDeferredRevenue,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,annualCostOfRevenue,annualNetIncome,annualFreeCashFlow,annualCurrentDebt,trailingBasicAverageShares,trailingRepaymentOfDebt,trailingPurchaseOfBusiness,trailingDilutedEPS,trailingBasicEPS,trailingCommonStockIssuance,trailingDilutedAverageShares
481075200,,,15600000.0,,,,,,,,,,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98400000.0,,,,,,,,,,,98400000.0,,,,,,,,,0.0425,,,88928000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98400000.0,88928000.0,,,,,,,,,,,,,,,,,,,,,,,
488937600,,,3800000.0,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85900000.0,,,,,,,,,,,85900000.0,,,,,,,,,0.01,,,90276000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85900000.0,90276000.0,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,400000.0,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78200000.0,,,,,,,,,,,78200000.0,,,,,,,,,0.0025,,,90448000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78200000.0,90448000.0,,,,,,,,,,,,,,,,,,,,,,,
504835200,,0.0,400000.0,,,,0.0,,8800000.0,,,12600000.0,,,35500000.0,,,18200000.0,,,326800000.0,,253500000.0,,42500000.0,,,,,161500000.0,,54500000.0,,,,,,54500000.0,138400000.0,12600000.0,91012000.0,18200000.0,,,,,,,,,,10100000.0,,161500000.0,,,,19200000.0,24800000.0,,,336400000.0,30800000.0,24800000.0,0.0,,24800000.0,,43100000.0,,,,91012000.0,,0.0,,,,,24800000.0,,,,7000000.0,244000000.0,,27600000.0,0.0,73300000.0,,,,,,170300000.0,,326800000.0,,244000000.0,8800000.0,,,,,152600000.0,,,,,-82500000.0,128700000.0,,,,,-243300000.0,,156500000.0,,,11500000.0,,,,,,-243300000.0,,,35500000.0,,20200000.0,,,253500000.0,,,,,,,,,,,,,1700000.0,,170300000.0,171800000.0,,42500000.0,156500000.0,,0.055,,,,11500000.0,,,,73300000.0,,7400000.0,138400000.0,,,30800000.0,,,73900000.0,,0.055,20200000.0,,,-82500000.0,,,,,,,0.0,164600000.0,20200000.0,0.0,7000000.0,,,,,,,
512611200,,,100000.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75200000.0,,,,,,,,,,,75200000.0,,,,,,,,,0.0,,,90616000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75200000.0,90616000.0,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74300000.0,,,,,,,,,,,74300000.0,,,,,,,,,0.0,,,91012000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74300000.0,91012000.0,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83000000.0,,,,,,,,,,,83000000.0,,,,,,,,,0.0,,,92888000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83000000.0,92888000.0,,,,,,,,,,,,,,,,,,,,,,,
536371200,,0.0,100000.0,,,,0.0,,10000000.0,,,12300000.0,,,34700000.0,,,17800000.0,,,334700000.0,,263600000.0,,41000000.0,,,,,168100000.0,,48800000.0,,,,,,48800000.0,138700000.0,12300000.0,80000000.0,17800000.0,,,,,,,,,,3900000.0,,168100000.0,,,,-6600000.0,33100000.0,,,306100000.0,30100000.0,33100000.0,0.0,,33100000.0,,17100000.0,,,,80000000.0,,0.0,,,,,33100000.0,,,,6300000.0,271400000.0,,-2700000.0,0.0,71100000.0,,,,,,178100000.0,,334700000.0,,271400000.0,10000000.0,,,,,160400000.0,,,,,-103300000.0,136700000.0,,,,,-239100000.0,,156600000.0,,,9200000.0,,,,,,-239100000.0,,,34700000.0,,200000.0,,,263600000.0,,,,,,,,,,,,,,,178100000.0,153800000.0,,41000000.0,156600000.0,,0.0025,,,,9200000.0,,,,71100000.0,,-2900000.0,138700000.0,,,30100000.0,,,73600000.0,,0.0025,200000.0,,,-103300000.0,,,,,,,0.0,152300000.0,200000.0,0.0,6300000.0,,,,,,,
544147200,,,-3900000.0,,,,,,,,,,,-0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78900000.0,,,,,,,,,,,78900000.0,,,,,,,,,-0.0125,,,93136000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78900000.0,93136000.0,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,-2900000.0,,,,,,,,,,,-0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79100000.0,,,,,,,,,,,79100000.0,,,,,,,,,-0.0075,,,95472000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79100000.0,95472000.0,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,-200000.0,,,,,,,,,,,-0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83100000.0,,,,,,,,,,,83100000.0,,,,,,,,,-0.0025,,,96308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83100000.0,96308000.0,,,,,,,,,,,,,,,,,,,,,,,
567907200,,0.0,-14500000.0,,,,0.0,,19600000.0,,,43400000.0,,,57400000.0,,,9000000.0,,,397900000.0,,278700000.0,,66800000.0,,,,,198200000.0,,64900000.0,,,,,,64900000.0,107700000.0,43400000.0,96648000.0,9000000.0,,,,,,,,,,2200000.0,,198200000.0,,,,-32100000.0,11100000.0,,,377700000.0,52400000.0,11100000.0,0.0,,11100000.0,,400000.0,,,,96648000.0,,0.0,,,,,11100000.0,,,,9400000.0,334300000.0,,-33200000.0,0.0,119200000.0,,,,,,217800000.0,,397900000.0,,334300000.0,19600000.0,,,,,209100000.0,,,,,-136100000.0,176600000.0,,,,,-273300000.0,,180100000.0,,,7200000.0,,,,,,-273300000.0,,,57400000.0,,-21500000.0,,,278700000.0,,,,,,,,,,,,,3300000.0,,217800000.0,177000000.0,,66800000.0,180100000.0,,-0.0475,,,,7200000.0,,,,119200000.0,,-11700000.0,107700000.0,,,52400000.0,,,136500000.0,,-0.0475,-21500000.0,,,-136100000.0,,,,,,,0.0,200700000.0,-21500000.0,0.0,9400000.0,,,,,,,
575769600,,,1200000.0,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108300000.0,,,,,,,,,,,108300000.0,,,,,,,,,0.0025,,,96648000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108300000.0,96648000.0,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,1100000.0,,,,,,,,,,,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108500000.0,,,,,,,,,,,108500000.0,,,,,,,,,0.0025,,,113672000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108500000.0,113672000.0,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,3900000.0,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119000000.0,,,,,,,,,,,119000000.0,,,,,,,,,0.01,,,114736000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119000000.0,114736000.0,,,,,,,,,,,,,,,,,,,,,,,
