,trailingOtherIncomeExpense,annualOperatingCashFlow,quarterlyOperatingExpense,annualGrossProfit,annualDilutedAverageShares,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,annualInventory,quarterlyTaxProvision,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualNetPPE,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,annualGrossPPE,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,annualDilutedEPS,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCurrentLiabilities,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualBeginningCashPosition,trailingInvestingCashFlow,quarterlyOperatingCashFlow,trailingDeferredIncomeTax,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualInvestingCashFlow,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,annualPretaxIncome,annualIncomeTaxPayable,quarterlyGrossPPE,trailingInterestExpense,quarterlyIncomeTaxPayable,annualBasicAverageShares,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,annualAccumulatedDepreciation,annualNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,trailingPurchaseOfInvestment,trailingOperatingExpense,quarterlyCommonStockIssuance,trailingChangeInCashSupplementalAsReported,trailingCapitalExpenditure,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,trailingChangeInWorkingCapital,annualInterestExpense,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualCapitalStock,annualTotalRevenue,trailingGrossProfit,annualChangeInAccountPayable,annualAccountsPayable,annualOperatingIncome,trailingOperatingIncome,quarterlyOtherNonCashItems,quarterlyBasicEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,annualCommonStockIssuance,annualFreeCashFlow,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,annualEndCashPosition,quarterlyRetainedEarnings,trailingTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualChangeInWorkingCapital,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,annualNetOtherInvestingChanges,quarterlyTotalRevenue,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalNonCurrentAssets,trailingNetIncome,trailingEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,trailingPretaxIncome,quarterlyTotalAssets,annualCashDividendsPaid,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,quarterlyFreeCashFlow,annualBasicEPS,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedAverageShares,trailingSaleOfInvestment,annualSaleOfInvestment,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualOtherNonCurrentAssets,annualOtherNonCashItems,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,annualStockholdersEquity,quarterlyEndCashPosition,quarterlyGoodwill,quarterlyInvestingCashFlow,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,annualRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,annualChangeInInventory,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS
488937600,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640000000.0,,169800000.0,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,169800000.0,,,169800000.0,,,,,,,19200000.0,,,,,,,,,,,,,19200000.0,19200000.0,640000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840000000.0,,199500000.0,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,199500000.0,,,199500000.0,,,,,,,16800000.0,,,,,,,,,,,,,16800000.0,16800000.0,840000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504835200,,,,368500000.0,675714286.0,,20000000.0,,20000000.0,69300000.0,,,8600000.0,,,881500000.0,132200000.0,69300000.0,904500000.0,2100000.0,881500000.0,,69300000.0,,1055000000.0,,12500000.0,,0.07,,,,3000000.0,-173500000.0,,,4600000.0,,,,,,,,,,,,,60800000.0,,1055000000.0,,,675714286.0,,,,,98600000.0,,,,-173500000.0,,,59400000.0,,,,,,,,59400000.0,,,-422400000.0,,,,,,,19800000.0,,,,679700000.0,,,,78600000.0,,,,484500000.0,117900000.0,,,,,,,,71900000.0,,,258600000.0,,484500000.0,,,,,8100000.0,,178700000.0,69300000.0,,-422400000.0,904500000.0,,,556400000.0,12500000.0,47300000.0,6000000.0,,,1022400000.0,,289900000.0,47300000.0,311200000.0,,556400000.0,,,0.07,6000000.0,6000000.0,,,,8100000.0,,236300000.0,117900000.0,4600000.0,381300000.0,3000000.0,,,47300000.0,,71900000.0,466000000.0,,,466000000.0,,,,1022400000.0,,,,13500000.0,,,,258600000.0,98600000.0,8600000.0,,,,,,381300000.0,,,,,,,,,,,,,,,,
512611200,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732592204.0,,173300000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,173300000.0,,,173300000.0,,,,,,,2700000.0,,,,,,,,,,,,,2700000.0,2700000.0,732592204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855000000.0,,193900000.0,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,193900000.0,,,193900000.0,,,,,,,17100000.0,,,,,,,,,,,,,17100000.0,17100000.0,855000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706666667.0,,207600000.0,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,207600000.0,,,207600000.0,,,,,,,21200000.0,,,,,,,,,,,,,21200000.0,21200000.0,706666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536371200,,,,488700000.0,714285714.0,,16800000.0,,16800000.0,74900000.0,,,11200000.0,,,925200000.0,143600000.0,74900000.0,950200000.0,26700000.0,925200000.0,,74900000.0,,1160000000.0,,11500000.0,,0.07,,,,8200000.0,-234800000.0,,,35400000.0,,,,,,,,,,,,,65400000.0,,1160000000.0,,,714285714.0,,,,,109000000.0,,,,-234800000.0,,,71300000.0,,,,,,,,71300000.0,,,-498700000.0,,,,,,,37300000.0,,,,755900000.0,,,,76100000.0,,,,483500000.0,128000000.0,,,,,,,,82800000.0,,,304400000.0,,483500000.0,,,,,8400000.0,,181100000.0,74900000.0,,-498700000.0,950200000.0,,,566300000.0,11500000.0,50000000.0,9000000.0,,,1078200000.0,,412600000.0,50000000.0,267200000.0,,566300000.0,,,0.07,9000000.0,9000000.0,,,,8400000.0,,345100000.0,128000000.0,35400000.0,339100000.0,8200000.0,,,50000000.0,,82800000.0,511900000.0,,,511900000.0,,,,1078200000.0,,,,15400000.0,,,,304400000.0,109000000.0,11200000.0,,,,,,339100000.0,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732592204.0,,178400000.0,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,178400000.0,,,178400000.0,,,,,,,-9800000.0,,,,,,,,,,,,,-9800000.0,-9800000.0,732592204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732592204.0,,205300000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,205300000.0,,,205300000.0,,,,,,,600000.0,,,,,,,,,,,,,600000.0,600000.0,732592204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680000000.0,,200700000.0,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,200700000.0,,,200700000.0,,,,,,,20400000.0,,,,,,,,,,,,,20400000.0,20400000.0,680000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,,,,413500000.0,673333333.0,,,,,142700000.0,,,7700000.0,,,824400000.0,82700000.0,142700000.0,841500000.0,34500000.0,824400000.0,,142700000.0,,1099900000.0,,9700000.0,,0.03,,,,17100000.0,-275500000.0,,,79000000.0,,,,,,,,,,,,,29100000.0,,1099900000.0,,,673333333.0,,,,,85900000.0,,,,-275500000.0,,,102600000.0,,,,,,,,102600000.0,,,-567200000.0,,,,,,,22600000.0,,,,765100000.0,,,,17200000.0,,,,416000000.0,201100000.0,,,,,,,,112300000.0,,,320400000.0,,416000000.0,,,,,6600000.0,,180700000.0,142700000.0,,-567200000.0,841500000.0,,,528300000.0,9700000.0,20200000.0,9000000.0,,,1042600000.0,,396300000.0,20200000.0,351600000.0,,528300000.0,,,0.03,9000000.0,9000000.0,,,,6600000.0,,330800000.0,201100000.0,79000000.0,251100000.0,17100000.0,,,20200000.0,,112300000.0,514300000.0,,,514300000.0,,,,1042600000.0,,,,8900000.0,,,,320400000.0,85900000.0,7700000.0,,,,,,251100000.0,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732592204.0,,178600000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,178600000.0,,,178600000.0,,,,,,,200000.0,,,,,,,,,,,,,200000.0,200000.0,732592204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755000000.0,,216900000.0,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,216900000.0,,,216900000.0,,,,,,,15100000.0,,,,,,,,,,,,,15100000.0,15100000.0,755000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665000000.0,,239100000.0,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,239100000.0,,,239100000.0,,,,,,,26600000.0,,,,,,,,,,,,,26600000.0,26600000.0,665000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
