date,annualBasicEPS,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,annualGrossProfit,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyCashAndCashEquivalents,annualTotalNonCurrentAssets,annualOtherIncomeExpense,annualRepaymentOfDebt,annualOperatingCashFlow,annualEbitda,quarterlyDilutedAverageShares,annualNetPPE,trailingGrossProfit,annualBasicAverageShares,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,annualOtherCurrentLiabilities,annualCashFlowFromContinuingFinancingActivities,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentAssets,annualGrossPPE,quarterlyAccumulatedDepreciation,annualOtherNonCashItems,trailingChangeInCashSupplementalAsReported,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBeginningCashPosition,quarterlyCurrentDebt,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingOtherIncomeExpense,annualInvestingCashFlow,annualDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyAccountsPayable,annualCapitalExpenditure,trailingOperatingExpense,trailingInvestingCashFlow,trailingDeferredIncomeTax,trailingCapitalExpenditure,annualOperatingExpense,annualPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,quarterlyOperatingCashFlow,annualDilutedAverageShares,trailingNetOtherFinancingCharges,trailingInterestExpense,trailingPurchaseOfBusiness,quarterlyTotalRevenue,quarterlyDeferredIncomeTax,quarterlyBasicAverageShares,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,trailingCashDividendsPaid,trailingNetIncome,annualDilutedEPS,quarterlyEbitda,quarterlyTaxProvision,annualChangeInCashSupplementalAsReported,annualInventory,quarterlyNetPPE,quarterlyCommonStockIssuance,annualCapitalStock,quarterlyChangeInCashSupplementalAsReported,annualInterestExpense,annualGoodwill,annualNetOtherFinancingCharges,annualFreeCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,annualOperatingIncome,trailingChangeInWorkingCapital,annualAccountsPayable,annualTotalRevenue,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,trailingCostOfRevenue,trailingTotalRevenue,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,trailingCommonStockIssuance,trailingFreeCashFlow,annualTaxProvision,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingEndCashPosition,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualNetIncome,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,annualCostOfRevenue,annualCashDividendsPaid,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,annualPretaxIncome,annualSellingGeneralAndAdministration,quarterlyNetIncome,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,annualOtherNonCurrentAssets,annualStockholdersEquity,annualCurrentAssets,annualCashAndCashEquivalents,annualLongTermDebt,annualDepreciationAndAmortization,trailingPretaxIncome,annualTotalAssets,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,annualRetainedEarnings,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,annualCurrentAccruedExpenses,quarterlyGoodwill,annualCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyLongTermDebt,trailingNetOtherInvestingChanges,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyChangeInAccountPayable,annualNonCurrentDeferredRevenue,annualSaleOfInvestment,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingBasicEPS,annualIncomeTaxPayable,trailingChangeInAccountPayable,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1987-09-30,,,,,,,,,,,,,,,,,,124611000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23548,,,,,,,,,734084359,,,,,,,,,,,734084359,,124611000.0,,,,,,,,734084359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39166885,,,,,,,,,,,,,,,,,,,0.23548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,0.96296,,,,,,,,,,,,,,,,3355425601.0,,,,166127367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922755965,,,,,,,166127367.0,,,,922755965,,,,,,,,,0.96296,922755965,,,,,,,,,,,,,,,3355425601.0,,,3355425601.0,,,,,,,,,,,,,,,,,,,,159974009.0,,,159974009.0,,,,,,,,,,,,,42735340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159974009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-31,,,,,,,,,,,,,,,,,,149909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07394,,,,,,,,,846077826,,,,,,,,,,,846077826,,149909000.0,,,,,,,,846077826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18653490,,,,,,,,,,,,,,,,,,,-0.07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,,,,,,149909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07275,,,,,,,,,830685264,,,,,,,,,,,830685264,,149909000.0,,,,,,,,830685264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18314130,,,,,,,,,,,,,,,,,,,-0.07275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,,,,,,,149909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08519,,,,,,,,,833637581,,,,,,,,,,,833637581,,149909000.0,,,,,,,,833637581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18498235,,,,,,,,,,,,,,,,,,,-0.08519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,-0.30959,,,,,,,,,,,,,,,,3268670962.0,,,,149909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800860326,,,,,,,149909000.0,,,,800860326,,,,,,,,,-0.30959,800860326,,,,,,,,,,,,,,,3268670962.0,,,3268670962.0,,,,,,,,,,,,,,,,,,,,-8589835.0,,,72297781.0,,,,,,,,,,,,,17046473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8589835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,,,,,,,,,,,,,,,,,,149909000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21498,,,,,,,,,920453190,,,,,,,,,,,920453190,,149909000.0,,,,,,,,920453190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43053071.0,,,,,43053071.0,,43053071,,,,,,,,,,,,,,,,,,,0.21498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,,,,,,,,,,,,,,186851914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23951,,,,,,,,,677515855,,,,,,,,,,,677515855,,186851914.0,,,,,,,,677515855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44752902.0,,,,,44752902.0,,49060668,,,,,,,,,,,,,,,,,,,0.23951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,,,,,,,,,,,,173829770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2831,,,,,,,,,686249117,,,,,,,,,,,686249117,,173829770.0,,,,,,,,686249117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49211208.0,,,,,49211208.0,,49211208,,,,,,,,,,,,,,,,,,,0.2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,1.08865,,,,,,,,,,,,,,,,3082918356.0,,,,180628829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798835474,,,,,,,180628829.0,,,,798835474,,,,,,,,,1.08865,798835474,,,,,,,,,,,,,,,3082918356.0,,,3082918356.0,,,,,,,,,,,,,,,,,,,,196641575.0,,,210075275.0,,,,,,68668888.0,,,,,68668888.0,,68681350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196641575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-31,,,,,,,,,,,,,,,,,,152642000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31581,,,,,,,,,877178617,,,,,,,,,,,877178617,,152642000.0,,,,,,,,877178617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55796000,,,,,,,,,,,,,,,,,,,0.31581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-30,,,,,,,,,,,,,,,,,,152951000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30315,,,,,,,,,701035727,,,,,,,,,,,701035727,,152951000.0,,,,,,,,701035727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51669964,,,,,,,,,,,,,,,,,,,0.30315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-30,,,,,,,,,,,,,,,,,,153378000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28856,,,,,,,,,655531152,,,,,,,,,,,655531152,,153378000.0,,,,,,,,655531152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53057450,,,,,,,,,,,,,,,,,,,0.28856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-31,1.23026,,,,,,,,,,,,,,,,3033174806.0,,,,154062700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799444601,,,,,,,154062700.0,,,,799444601,,,,,,,,,1.23026,799444601,,,,,,,,,,,,,,,3033174806.0,,,3033174806.0,,,,,,,,,,,,,,,,,,,,214940262.0,,,214940262.0,,,,,,,,,,,,,54380789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189537177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-31,,,,,,,,,,,,,,,,,,153925000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3238,,,,,,,,,849235757,,,,,,,,,,,849235757,,153925000.0,,,,,,,,849235757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58476146,,,,,,,,,,,,,,,,,,,0.3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-30,,,,,,,,,,,,,,,,,,156110000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33138,,,,,,,,,711659244,,,,,,,,,,,711659244,,156110000.0,,,,,,,,711659244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61550759,,,,,,,,,,,,,,,,,,,0.33138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,,,,,,,170546000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3391,,,,,,,,,681149581,,,,,,,,,,,681149581,,170546000.0,,,,,,,,681149581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64494229,,,,,,,,,,,,,,,,,,,0.3391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,1.34073,,,,,,,,,,,,,,,,3094060550.0,,,,163669120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851924320,,,,,,,163669120.0,,,,851924320,,,,,,,,,1.34073,851924320,,,,,,,,,,,,,,,3094060550.0,,,3094060550.0,,,,,,,,,,,,,,,,,,,,251213312.0,,,251213312.0,,,,,,,,,,,,,66669298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219436099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-31,,,,,,,,,,,,,,,,,,171334698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39285,,,,,,,,,925912713,,,,,,,,,,,925912713,,171334698.0,,,,,,,,925912713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67308836.0,,,,,79557617.0,,79557617,,,,,,,,,,,,,,,,,,,0.39285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,,,,,,,,,205338086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39474,,,,,,,,,844724221,,,,,,,,,,,844724221,,205338086.0,,,,,,,,844724221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81055156.0,,,,,81055156.0,,81055156,,,,,,,,,,,,,,,,,,,0.39474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,,,,,,,,,,,,216963128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38682,,,,,,,,,852974186,,,,,,,,,,,852974186,,216963128.0,,,,,,,,852974186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83925677.0,,,,,83925677.0,,83925677,,,,,,,,,,,,,,,,,,,0.38682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,1.57081,,,,,,,,,,,,,,,,3757533376.0,,,,209236845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133889530,,,,,,,209236845.0,,,,1133889530,,,,,,,,,1.57081,1133889530,,,,,,,,,,,,,,,3757533376.0,,,3757533376.0,,,,,,,,,,,,,,,,,,,,328671329.0,,,328671329.0,,,,,,84251825.0,,,,,84251825.0,,84251825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328671329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,,,,,,,,,,,,,,,,,,217154176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40215,,,,,,,,,1115137788,,,,,,,,,,,1115137788,,217154176.0,,,,,,,,1115137788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87328552.0,,,,,87328552.0,,87328552,,,,,,,,,,,,,,,,,,,0.40215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
