,quarterlyInventory,quarterlyOtherIncomeExpense,annualChangeInInventory,trailingStockBasedCompensation,annualDepreciationAndAmortization,annualInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,trailingChangeInInventory,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyAccumulatedDepreciation,annualCurrentLiabilities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,annualSaleOfInvestment,trailingOtherIncomeExpense,annualCapitalStock,annualStockBasedCompensation,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,annualGrossProfit,annualEbitda,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,trailingNetIncome,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,trailingPretaxIncome,quarterlyOtherShortTermInvestments,annualGrossPPE,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualRepaymentOfDebt,annualPretaxIncome,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,annualGoodwill,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,trailingGrossProfit,annualInvestingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingIncome,quarterlySaleOfInvestment,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,annualPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,trailingDeferredIncomeTax,trailingInvestingCashFlow,annualCapitalExpenditure,trailingRepaymentOfDebt,quarterlyCapitalStock,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,quarterlyAccountsPayable,trailingTotalRevenue,annualEndCashPosition,annualCurrentAccruedExpenses,annualBasicAverageShares,annualNetOtherFinancingCharges,quarterlyPurchaseOfInvestment,quarterlyEbitda,trailingEndCashPosition,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingTaxProvision,quarterlyStockBasedCompensation,annualCashAndCashEquivalents,quarterlyTotalLiabilitiesNetMinorityInterest,annualTotalRevenue,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,quarterlyGrossProfit,annualCurrentDebt,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGrossPPE,annualGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,annualDeferredIncomeTax,quarterlyCurrentAssets,annualOtherNonCurrentAssets,annualOperatingExpense,quarterlyRepurchaseOfCapitalStock,annualOtherShortTermInvestments,quarterlyIncomeTaxPayable,trailingFreeCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualChangeInAccountPayable,annualAccumulatedDepreciation,annualChangesInAccountReceivables,annualChangeInWorkingCapital,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyOperatingIncome,annualBasicEPS,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,trailingCostOfRevenue,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualDilutedAverageShares,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyLongTermDebt,quarterlyBasicEPS,annualBeginningCashPosition,quarterlyChangeInInventory,annualAccountsReceivable,annualNetIncome,annualCommonStockIssuance,annualFreeCashFlow,quarterlyNetIncome,annualTotalNonCurrentAssets,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,trailingChangeInAccountPayable,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualDilutedEPS,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualOtherNonCashItems,annualOtherCurrentAssets,annualTaxProvision,quarterlyOtherCurrentAssets,annualTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,annualStockholdersEquity,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,trailingCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingSaleOfInvestment,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingNetOtherFinancingCharges,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance
481075200,,,,,,,,,,,,,,,,,,,,,,17932000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,3600000.0,,3600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600000.0,,,,,17932000.0,,,,,,,,,,,,,,,-0.02,,,,,,,,,,-300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486345600,,,,,,,,,,,,,,,,,,,,,,17980000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,7400000.0,,7400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400000.0,,,,,17980000.0,,,,,,,,,,,,,,,-0.04,,,,,,,,,,-700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494294400,,,,,,,,,,,,,,,,,,,,,,17980000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,10100000.0,,10100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10100000.0,,,,,17980000.0,,,,,,,,,,,,,,,-0.03,,,,,,,,,,-500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502156800,,,,,,,,,,,,,,,,,,,,,,17980000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,15900000.0,,15900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15900000.0,,,,,17980000.0,,,,,,,,,,,,,,,-0.04,,,,,,,,,,-700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509932800,10700000.0,,,,,10700000.0,,,,,,-700000.0,13100000.0,7800000.0,,,,,,,,,,,,,,,1200000.0,2100000.0,1400000.0,0.0,,,200000.0,20200000.0,500000.0,5300000.0,,,1200000.0,,,,,,5300000.0,,,1900000.0,,,1200000.0,,-1500000.0,,,,,1400000.0,2800000.0,25100000.0,,0.0,,-500000.0,,200000.0,,,2100000.0,,,2100000.0,,,,,,,,,,,,0.0,,17500000.0,,,-33800000.0,,7500000.0,-1400000.0,,,2100000.0,13300000.0,40800000.0,,20600000.0,,,,,7800000.0,,,,,13100000.0,1900000.0,,,,22300000.0,200000.0,20700000.0,,,,,200000.0,,,-700000.0,,,,,22300000.0,-33800000.0,-0.08,13300000.0,1400000.0,,,,,,,,,-1400000.0,,,,17500000.0,11800000.0,1400000.0,,,0.0,,,-1400000.0,,0.0,,2800000.0,,400000.0,,19700000.0,,-0.08,,,,900000.0,-100000.0,900000.0,25100000.0,200000.0,,11800000.0,,,,,,,,,,,,,,,,,,,,,
517881600,,,,,,,,,,,,,,,,,,,,,,17972000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,8600000.0,,8600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600000.0,,,,,17972000.0,,,,,,,,,,,,,,,0.02,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525830400,,,,,,,,,,,,,,,,,,,,,,19520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,15500000.0,,15500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15500000.0,,,,,19520000.0,,,,,,,,,,,,,,,0.06,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533692800,,,,,,,,,,,,,,,,,,,,,,19520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,17800000.0,,17800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17800000.0,,,,,19520000.0,,,,,,,,,,,,,,,0.08,,,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541468800,11700000.0,,,,,11700000.0,,,,,,-800000.0,14300000.0,7200000.0,,,,,,,,,,,,,,,1200000.0,4800000.0,3600000.0,0.0,,,200000.0,27600000.0,7700000.0,7100000.0,,,1200000.0,,,,,,7100000.0,,,2000000.0,,,900000.0,,5600000.0,,,,-100000.0,3600000.0,5000000.0,31700000.0,,0.0,,6800000.0,,-200000.0,,,4800000.0,,,4800000.0,,,,,,,,,,,,0.0,,19444444.0,,,-35200000.0,,10200000.0,3500000.0,,,4800000.0,15300000.0,52200000.0,,24600000.0,,,,,7200000.0,,,,,14300000.0,2000000.0,,,,26700000.0,200000.0,20800000.0,,,,,1000000.0,,,-800000.0,,,,,26700000.0,-35200000.0,0.18,15300000.0,5600000.0,,,,,,,,,3500000.0,,,,19444444.0,16400000.0,5600000.0,1100000.0,,0.0,,,3500000.0,,0.0,,5000000.0,,600000.0,,19900000.0,-100000.0,0.18,,1100000.0,,0.0,2100000.0,0.0,31700000.0,1000000.0,,16400000.0,,,,,,,,,,,,,,,,,,,,,
549417600,,,,,,,,,,,,,,,,,,,,,,19532000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,10500000.0,,10500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500000.0,,,,,19532000.0,,,,,,,,,,,,,,,0.04,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557366400,,,,,,,,,,,,,,,,,,,,,,19564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,18400000.0,,18400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400000.0,,,,,19564000.0,,,,,,,,,,,,,,,0.08,,,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565228800,,,,,,,,,,,,,,,,,,,,,,19564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,23200000.0,,23200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23200000.0,,,,,19564000.0,,,,,,,,,,,,,,,0.11,,,,,,,,,,2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573091200,21800000.0,,,,,21800000.0,,,,,,-1000000.0,10100000.0,900000.0,,,,,,,,,,,,,,,3200000.0,6900000.0,3300000.0,0.0,,,1800000.0,33600000.0,10700000.0,9200000.0,,,3200000.0,,,,,,9200000.0,,,4200000.0,,,2100000.0,,7800000.0,,,,100000.0,3300000.0,8300000.0,53500000.0,,0.0,,9600000.0,,300000.0,,,6900000.0,,,6900000.0,,,,,,,,,,,,0.0,,20400000.0,,,-42400000.0,,15900000.0,5100000.0,,,6900000.0,31800000.0,67900000.0,,34300000.0,,,,,900000.0,,,,,10100000.0,4200000.0,,,,45200000.0,1800000.0,24000000.0,,,,,21700000.0,,,-1000000.0,,,,,45200000.0,-42400000.0,0.25,31800000.0,10700000.0,,,,,,,,,5100000.0,,,,24285714.0,21700000.0,10700000.0,21600000.0,,0.0,,,5100000.0,,0.0,,8300000.0,,700000.0,,22900000.0,100000.0,0.21,,21600000.0,,1400000.0,2700000.0,1400000.0,53500000.0,21700000.0,,21700000.0,,,,,,,,,,,,,,,,,,,,,
581040000,,,,,,,,,,,,,,,,,,,,,,19612000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,18800000.0,,18800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18800000.0,,,,,19612000.0,,,,,,,,,,,,,,,0.07,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588988800,,,,,,,,,,,,,,,,,,,,,,20084000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,24100000.0,,24100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24100000.0,,,,,20084000.0,,,,,,,,,,,,,,,0.12,,,,,,,,,,2400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596851200,,,,,,,,,,,,,,,,,,,,,,32120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,33300000.0,,33300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33300000.0,,,,,32120000.0,,,,,,,,,,,,,,,0.17,,,,,,,,,,3400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604627200,29300000.0,,,,,29300000.0,,,,,,-1300000.0,22400000.0,11000000.0,,,,,,,,,,,,,,,3600000.0,12300000.0,3000000.0,0.0,,,1900000.0,44700000.0,15300000.0,11400000.0,,,3600000.0,,,,,,11400000.0,,,4900000.0,,,2300000.0,,12000000.0,,,,0.0,3000000.0,8500000.0,74400000.0,,0.0,,13900000.0,,300000.0,,,12300000.0,,,12300000.0,,,,,,,,,,,,0.0,,22051282.0,,,-62300000.0,,21200000.0,8600000.0,,,12300000.0,23500000.0,97400000.0,,52700000.0,,,,,11000000.0,,,,,22400000.0,4900000.0,,,,65900000.0,1900000.0,30800000.0,,,,,1100000.0,,,-1300000.0,,,,,65900000.0,-62300000.0,0.39,23500000.0,19300000.0,,,,,,,,,8600000.0,,,,27741935.0,50900000.0,19300000.0,1100000.0,,0.0,,,8600000.0,,0.0,,8500000.0,,1400000.0,,29400000.0,0.0,0.31,,1100000.0,,3100000.0,3400000.0,3100000.0,74400000.0,1100000.0,,50900000.0,,,,,,,,,,,,,,,,,,,,,
