,annualOtherNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,quarterlySaleOfInvestment,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualCapitalExpenditure,annualSellingGeneralAndAdministration,trailingNetIncomeContinuousOperations,annualCurrentAssets,quarterlyOperatingIncome,quarterlyDilutedAverageShares,annualBasicEPS,trailingInterestExpense,trailingCapitalExpenditure,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,annualRepurchaseOfCapitalStock,trailingBeginningCashPosition,annualChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,annualChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,annualTaxProvision,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,quarterlyStockBasedCompensation,annualOtherCurrentLiabilities,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,quarterlyBasicEPS,annualRepaymentOfDebt,annualInterestExpense,annualTotalRevenue,trailingChangeInAccountPayable,quarterlyChangeInAccountPayable,trailingChangesInAccountReceivables,trailingRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyCurrentAssets,annualGrossProfit,annualTotalNonCurrentAssets,trailingCommonStockIssuance,annualFreeCashFlow,quarterlyPurchaseOfBusiness,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,quarterlySellingGeneralAndAdministration,trailingCostOfRevenue,annualOtherCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyRetainedEarnings,annualDilutedEPS,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,annualChangeInInventory,trailingNetIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,trailingTaxProvision,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,annualBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualNetIncome,annualCurrentDebt,annualCostOfRevenue,annualCashDividendsPaid,trailingSaleOfInvestment,annualSaleOfInvestment,annualIncomeTaxPayable,trailingInvestingCashFlow,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualStockholdersEquity,quarterlyOtherCurrentLiabilities,annualLongTermDebt,trailingPurchaseOfInvestment,quarterlyCommonStockIssuance,trailingCashDividendsPaid,annualOtherNonCashItems,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,quarterlyInventory,quarterlyOtherIncomeExpense,annualStockBasedCompensation,quarterlyGoodwill,annualGoodwill,quarterlyCostOfRevenue,trailingStockBasedCompensation,annualTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualCurrentLiabilities,annualDilutedAverageShares,annualRetainedEarnings,trailingChangeInInventory,annualInventory,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,annualPurchaseOfInvestment,quarterlyLongTermDebt,quarterlyBasicAverageShares,trailingChangeInWorkingCapital,annualCapitalStock,quarterlyOperatingExpense,annualCommonStockIssuance,quarterlyCashDividendsPaid,annualOtherIncomeExpense,trailingGrossProfit,annualNetPPE,annualOtherShortTermInvestments,annualCashCashEquivalentsAndMarketableSecurities,annualGainsLossesNotAffectingRetainedEarnings,annualAccountsPayable,quarterlyDepreciationAndAmortization,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,trailingRepaymentOfDebt,annualEndCashPosition,annualOperatingIncome,trailingTotalRevenue,quarterlyTotalNonCurrentAssets,annualBasicAverageShares,trailingChangeInCashSupplementalAsReported,trailingEndCashPosition,quarterlyChangesInAccountReceivables,annualCashAndCashEquivalents,annualGrossPPE,trailingPretaxIncome,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyInterestExpense,annualNetOtherInvestingChanges,quarterlyFreeCashFlow,annualPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,trailingNetOtherFinancingCharges,trailingBasicEPS,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingResearchAndDevelopment,quarterlyCurrentDeferredRevenue,annualCurrentDeferredRevenue,trailingDilutedEPS,annualOtherIntangibleAssets
520473600,,,,,,,,,,,,,,,,,7100000.0,,,,,,,,,,,,,,7100000.0,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100000.0,,,,,,,,,,,,,,,,,,,,,900000.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,,,,7000000.0,,,,,,,,,,,,,,7000000.0,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0,,,,,,,,,,,,,,,,,,,,,400000.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536371200,,,,,,,,,,,,,,,,,6300000.0,,0.27,,,,,,,,,,,,6300000.0,,,,,,,3800000.0,,,,,,,,27100000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,6300000.0,,,,,,,,,3800000.0,3800000.0,,,,,,,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14074074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27100000.0,,,,,,,27100000.0,,,14074074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,7700000.0,,,,,,,,,,,,,,7700000.0,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7700000.0,,,,,,,,,,,,,,,,,,,,,700000.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,9200000.0,,,,,,,,,,,,,,9200000.0,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200000.0,,,,,,,,,,,,,,,,,,,,,3200000.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,,11600000.0,,,,,,,,,,,,,,11600000.0,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11600000.0,,,,,,,,,,,,,,,,,,,,,1500000.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,,,,,,,,,,,,,,,,,11200000.0,,0.52,,,,,,,,,,,,11200000.0,,,,,,,7500000.0,,,,,,,,39900000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,11200000.0,,,,,,,,,7500000.0,7500000.0,,,,,,,,,,,2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14423077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,39900000.0,,,,,,,39900000.0,,,14423077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,10400000.0,,,,,,,,,,,,,,10400000.0,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10400000.0,,,,,,,,,,,,,,,,,,,,,300000.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,,,,,,,-1300000.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,9400000.0,,,,,,,,,,,,,,9400000.0,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400000.0,,,,,,,,,,,,,,,,,,,,,-300000.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599529600,,,,,,,,,,,,,,,,,7500000.0,,-0.31,,,,,,,,,,,,7500000.0,,,,,,,-4600000.0,,,,,,,,35500000.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.31,,,,,,7500000.0,,,,,,,,,-4100000.0,-4600000.0,,,,,,,,,,,-2700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14838710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35500000.0,,,,,,,35500000.0,,,14838710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,,,,,,,,9800000.0,,,,,,,,,,,,,,9800000.0,,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9800000.0,,,,,,,,,,,,,,,,,,,,,-1200000.0,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615168000,,,,,,,,,,,,,,,,,7800000.0,,,,,,,,,,,,,,7800000.0,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800000.0,,,,,,,,,,,,,,,,,,,,,-300000.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623116800,,,,,,,,,,,,,,,,,7400000.0,,,,,,,,,,,,,,7400000.0,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400000.0,,,,,,,,,,,,,,,,,,,,,-100000.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631065600,,,,,,,,,,,,,,,,,8200000.0,,1.17,,,,,,,,,,,,8200000.0,,,,,,,-8700000.0,,,,,,,,31900000.0,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,8200000.0,,,,,,,,,-13300000.0,-8700000.0,,,,,,,,,,,-11900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31900000.0,,,,,,,31900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638841600,,,,,,,,,,,,,,,,,18100000.0,25000000.0,,,,,,,,,,,,,18100000.0,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18100000.0,,,,,,,,,,,,,,,,,,,,,1500000.0,0.06,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,,,,,,,,,,,,,,
646704000,,,,,,,,,,,,,,,,,15200000.0,25384615.0,,,,,,,,,,,,,15200000.0,,,,,,,,,,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15200000.0,,,,,,,,,,,,,,,,,,,,,-3300000.0,-0.13,-3300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25384615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3300000.0,,,,,,,,,,,,,,,,,,
654652800,,,,,,,,,,,,,,,,,15100000.0,24444444.0,,,,,,,,,,,,,15100000.0,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15100000.0,,,,,,,,,,,,,,,,,,,,,-2200000.0,-0.09,-2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24444444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2200000.0,,,,,,,,,,,,,,,,,,
662601600,,,,,,,,,,,,,,,,,12900000.0,,-1.57,,,,,,,,,,,,12900000.0,,,,,,,-41100000.0,,,,,,,,61700000.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.57,,,,,,12900000.0,,,,,,,,,-41100000.0,-41100000.0,,,,,,,,,,,-37100000.0,,-37100000.0,,,,,,,,,,,,,,,,,,,,,,,,,26178344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,61700000.0,,,,,,,61700000.0,,,26178344.0,,,,,,,,,,,,,,,,,-37100000.0,,,,,,,,,,,,,,,,,,
670377600,,,,,,,,,,,,,,,,,12400000.0,28888889.0,,,,,,,,,,,,,12400000.0,,,,,,,,,,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12400000.0,,,,,,,,,,,,,,,,,,,,,-2600000.0,-0.09,-2600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28888889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2600000.0,,,,,,,,,,,,,,,,,,
678240000,,,,,,,,,,,,,,,,,16500000.0,28888889.0,,,,,,,,,,,,,16500000.0,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16500000.0,,,,,,,,,,,,,,,,,,,,,700000.0,0.01,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28888889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,
686188800,,,,,,,,,,,,,,,,,17700000.0,27142857.0,,,,,,,,,,,,,17700000.0,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17700000.0,,,,,,,,,,,,,,,,,,,,,500000.0,0.01,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27142857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,,,
