,annualNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualBasicAverageShares,quarterlyCostOfRevenue,trailingNetOtherInvestingChanges,annualRetainedEarnings,quarterlyGoodwill,trailingPretaxIncome,quarterlyLongTermDebt,quarterlyTotalAssets,annualGoodwill,annualPretaxIncome,annualCommonStockIssuance,annualAccountsReceivable,annualPurchaseOfInvestment,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,annualCashDividendsPaid,trailingChangeInWorkingCapital,annualNetIncome,trailingInvestingCashFlow,annualAccountsPayable,trailingOperatingIncome,trailingChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualEndCashPosition,annualTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,annualTotalAssets,annualBasicEPS,annualOtherNonCashItems,trailingTotalRevenue,annualStockholdersEquity,annualOtherCurrentAssets,annualLongTermDebt,annualOperatingIncome,annualDepreciationAndAmortization,annualCashAndCashEquivalents,annualCurrentLiabilities,quarterlyInterestExpense,trailingEndCashPosition,quarterlyCurrentDebt,annualCurrentAccruedExpenses,annualDilutedAverageShares,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyChangeInAccountPayable,annualIncomeTaxPayable,annualSaleOfInvestment,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEndCashPosition,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,trailingRepurchaseOfCapitalStock,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualNetPPE,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,annualEbitda,annualCurrentAssets,annualDilutedEPS,annualGrossPPE,quarterlyChangesInAccountReceivables,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualInterestExpense,annualRepaymentOfDebt,trailingChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyOperatingExpense,annualBeginningCashPosition,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualCapitalExpenditure,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyCurrentDeferredRevenue,trailingCapitalExpenditure,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualSellingGeneralAndAdministration,trailingInterestExpense,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,trailingChangeInInventory,trailingStockBasedCompensation,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,annualNetIncomeContinuousOperations,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOperatingIncome,annualInventory,trailingTaxProvision,trailingNetOtherFinancingCharges,quarterlyEbitda,annualCurrentDebt,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,annualStockBasedCompensation,annualPurchaseOfBusiness,annualOperatingExpense,annualCostOfRevenue,annualTotalRevenue,trailingOtherNonCashItems,annualCapitalStock,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentAssets,quarterlyDilutedEPS,annualAccumulatedDepreciation,annualGrossProfit,trailingFreeCashFlow,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,trailingBeginningCashPosition,quarterlyDeferredIncomeTax,trailingPurchaseOfBusiness,trailingNetIncome,annualChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,quarterlyNetPPE,trailingNetIncomeContinuousOperations,quarterlyPretaxIncome,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,trailingOperatingExpense,quarterlyRetainedEarnings,quarterlyTaxProvision,annualNonCurrentDeferredRevenue,trailingDilutedAverageShares,trailingBasicEPS,trailingCommonStockIssuance,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
478396800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,55108000.0,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55108000.0,,,,,,,,,,,,,,,,,,,,,,,,,108600000.0,,,,,,,,,,,108600000.0,,,,108600000.0,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486345600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,,,,,55108000.0,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55108000.0,,,,,,,,,,,,,,,,,,,,,,,,,115700000.0,,,,,,,,,,,115700000.0,,,,115700000.0,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494294400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900000.0,,,,,55108000.0,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55108000.0,,,,,,,,,,,,,,,,,,,,,,,,,117000000.0,,,,,,,,,,,117000000.0,,,,117000000.0,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502156800,,,,55416667.0,,,99400000.0,,,44200000.0,253600000.0,,22800000.0,,,,0.0,116100000.0,,,,13300000.0,,,,,,20900000.0,,,4200000.0,0.0,0.0,9500000.0,72500000.0,,253600000.0,0.24,,,113100000.0,5900000.0,44200000.0,30700000.0,,11300000.0,68000000.0,,,13800000.0,,55416667.0,,,140500000.0,17600000.0,,,,,,,,,7400000.0,,,,,,,53500000.0,,,72500000.0,,,17600000.0,0.0,97200000.0,1300000.0,11300000.0,,41300000.0,137500000.0,0.24,152100000.0,,,,113100000.0,,,54200000.0,13300000.0,7600000.0,,,1300000.0,,,0.0,,20900000.0,,,,500000.0,116100000.0,,,,11300000.0,11300000.0,115500000.0,,,,,,,,5900000.0,,116600000.0,,,,,13300000.0,,,,,,-310600000.0,53500000.0,,,-310600000.0,13800000.0,,-54900000.0,,,126100000.0,301100000.0,457900000.0,,,,,,152100000.0,68000000.0,,,,137500000.0,,-54900000.0,156800000.0,,,,,,140500000.0,,,,,,7400000.0,,97200000.0,,,,54200000.0,,,99400000.0,,,,,,,,,,,,,,
509932800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000.0,,,,,55112000.0,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55112000.0,,,,,,,,,,,,,,,,,,,,,,,,,119200000.0,,,,,,,,,,,119200000.0,,,,119200000.0,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517881600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300000.0,,,,,55232000.0,,,,,,,,,,,,,,,,,,,,,,0.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55232000.0,,,,,,,,,,,,,,,,,,,,,,,,,132800000.0,,,,,,,,,,,132800000.0,,,,132800000.0,,,,,,,,,,,,,,,,,,,,0.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525830400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700000.0,,,,,56144000.0,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56144000.0,,,,,,,,,,,,,,,,,,,,,,,,,136600000.0,,,,,,,,,,,136600000.0,,,,136600000.0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533692800,,,,56842105.0,,,115000000.0,,,37200000.0,291200000.0,,33000000.0,,,,0.0,133100000.0,,,,18900000.0,,,,,,25800000.0,,,5100000.0,0.0,0.0,14100000.0,71900000.0,,291200000.0,0.3325,,,135500000.0,5700000.0,37200000.0,39500000.0,,14200000.0,83800000.0,,,14200000.0,,56842105.0,,,155700000.0,22400000.0,,,,,,,,,8900000.0,,,,,,,60600000.0,,,71900000.0,,,22400000.0,0.0,109000000.0,1700000.0,14200000.0,,52600000.0,158100000.0,0.3325,175800000.0,,,,135500000.0,,,69600000.0,18900000.0,6200000.0,,,1700000.0,,,0.0,,25800000.0,,,,600000.0,133100000.0,,,,14200000.0,14200000.0,131400000.0,,,,,,,,5700000.0,,139900000.0,,,,,18900000.0,,,,,,-349100000.0,60600000.0,,,-349100000.0,14200000.0,,-66800000.0,,,144500000.0,344500000.0,528500000.0,,,,,,175800000.0,83800000.0,,,,158100000.0,,-66800000.0,184000000.0,,,,,,155700000.0,,,,,,8900000.0,,109000000.0,,,,69600000.0,,,115000000.0,,,,,,,,,,,,,,
541468800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600000.0,,,,,56168000.0,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56168000.0,,,,,,,,,,,,,,,,,,,,,,,,,137400000.0,,,,,,,,,,,137400000.0,,,,137400000.0,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549417600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6900000.0,,,,,56268000.0,,,,,,,,,,,,,,,,,,,,,,0.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56268000.0,,,,,,,,,,,,,,,,,,,,,,,,,151200000.0,,,,,,,,,,,151200000.0,,,,151200000.0,,,,,,,,,,,,,,,,,,,,0.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557366400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900000.0,,,,,56456000.0,,,,,,,,,,,,,,,,,,,,,,0.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56456000.0,,,,,,,,,,,,,,,,,,,,,,,,,155100000.0,,,,,,,,,,,155100000.0,,,,155100000.0,,,,,,,,,,,,,,,,,,,,0.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565228800,,,,57653631.0,,,137000000.0,,,33000000.0,329600000.0,,42100000.0,,,,0.0,147900000.0,,,,25800000.0,,,,,,28600000.0,,,7300000.0,0.0,0.0,16300000.0,73100000.0,,329600000.0,0.4475,,,161400000.0,6300000.0,33000000.0,47800000.0,,19900000.0,95100000.0,,,14500000.0,,57653631.0,,,168200000.0,18500000.0,,,,,,,,,11500000.0,,,,,,,72400000.0,,,73100000.0,,,18500000.0,0.0,126900000.0,2500000.0,19900000.0,,63500000.0,181700000.0,0.4475,205400000.0,,,,161400000.0,,,80600000.0,25800000.0,5500000.0,,,2500000.0,,,0.0,,28600000.0,,,,600000.0,147900000.0,,,,19900000.0,19900000.0,154200000.0,,,,,,,,6300000.0,,153300000.0,,,,,25800000.0,,,,,,-396000000.0,72400000.0,,,-396000000.0,14500000.0,,-78500000.0,,,169900000.0,379400000.0,597100000.0,,,,,,205400000.0,95100000.0,,,,181700000.0,,-78500000.0,217700000.0,,,,,,168200000.0,,,,,,11500000.0,,126900000.0,,,,80600000.0,,,137000000.0,,,,,,,,,,,,,,
573091200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700000.0,,,,,56684000.0,,,,,,,,,,,,,,,,,,,,,,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56684000.0,,,,,,,,,,,,,,,,,,,,,,,,,154600000.0,,,,,,,,,,,154600000.0,,,,154600000.0,,,,,,,,,,,,,,,,,,,,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700000.0,,,,,56732000.0,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56732000.0,,,,,,,,,,,,,,,,,,,,,,,,,172800000.0,,,,,,,,,,,172800000.0,,,,172800000.0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588988800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800000.0,,,,,56820000.0,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56820000.0,,,,,,,,,,,,,,,,,,,,,,,,,176700000.0,,,,,,,,,,,176700000.0,,,,176700000.0,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
