,trailingCashDividendsPaid,annualPretaxIncome,annualNetIncome,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualPurchaseOfInvestment,annualAccountsReceivable,annualLongTermDebt,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingInvestingCashFlow,quarterlyTotalNonCurrentAssets,annualGoodwill,annualSaleOfInvestment,quarterlyBasicAverageShares,quarterlyAccountsReceivable,annualIncomeTaxPayable,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,annualOperatingIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,annualRetainedEarnings,trailingSaleOfInvestment,annualTotalAssets,quarterlySellingGeneralAndAdministration,trailingCommonStockIssuance,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingCashFlow,trailingTotalRevenue,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,trailingChangeInAccountPayable,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,annualNetPPE,quarterlyOperatingExpense,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,trailingOperatingIncome,annualAccountsPayable,annualChangeInAccountPayable,annualCurrentLiabilities,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyInterestExpense,annualOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyDilutedEPS,annualOtherNonCurrentLiabilities,annualEbitda,annualOtherNonCurrentAssets,trailingNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,trailingBeginningCashPosition,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualInterestExpense,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,annualBasicAverageShares,annualBeginningCashPosition,trailingCapitalExpenditure,annualCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyChangesInAccountReceivables,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyAccountsPayable,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,annualRepaymentOfDebt,quarterlyGrossProfit,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingGrossProfit,trailingDeferredIncomeTax,quarterlyDilutedAverageShares,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,trailingInterestExpense,annualTaxProvision,annualBasicEPS,quarterlyRepaymentOfDebt,annualCurrentDebt,annualDilutedAverageShares,annualInventory,trailingCostOfRevenue,quarterlyAccumulatedDepreciation,quarterlyNetPPE,trailingResearchAndDevelopment,quarterlyOtherNonCashItems,annualCapitalStock,quarterlyTaxProvision,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalRevenue,trailingChangeInInventory,annualTotalNonCurrentAssets,annualResearchAndDevelopment,quarterlyEbitda,quarterlyStockBasedCompensation,annualGrossProfit,annualFreeCashFlow,trailingTaxProvision,trailingDepreciationAndAmortization,annualStockBasedCompensation,quarterlyBasicEPS,annualNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,trailingOtherNonCashItems,quarterlyDeferredIncomeTax,trailingPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOperatingExpense,annualChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,quarterlyRetainedEarnings,trailingNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,trailingOperatingExpense,quarterlyPretaxIncome,quarterlyCapitalExpenditure,annualDilutedEPS,trailingNetIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,annualChangeInInventory,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingBasicEPS,trailingPurchaseOfInvestment,trailingDilutedEPS,trailingDilutedAverageShares
488937600,,,,,,,,,,,,,,,,,,,127978000.0,,,,,,,,,,14200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127978000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,351200000.0,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351200000.0,,351200000.0,,,,,,,,,,
496886400,,125200000.0,58600000.0,1594700000.0,,116100000.0,,,,382300000.0,382300000.0,290900000.0,,,,960400000.0,,,,,,,631300000.0,,625700000.0,,156400000.0,,9500000.0,0.0,,629100000.0,,1594700000.0,,,,,0.0,,27800000.0,,,,132900000.0,,171600000.0,27800000.0,,,,623200000.0,,0.0,631300000.0,,,,,337700000.0,46800000.0,,21600000.0,,,21600000.0,,,,,,969000000.0,,315600000.0,,,,116100000.0,240100000.0,315600000.0,,,,,27800000.0,27800000.0,,,,,34000000.0,,180400000.0,127978000.0,0.0,,634300000.0,,1106700000.0,,,58600000.0,,163800000.0,-483500000.0,,,,,,,,,,,2900000.0,290900000.0,,,,,,,,,625700000.0,,,53900000.0,0.115,,46800000.0,127978000.0,171600000.0,,-483500000.0,623200000.0,,,,,1003600000.0,180400000.0,1407500000.0,,960400000.0,,-901900000.0,,403900000.0,0.0,,,,,,,,,,,,247500000.0,,,,71300000.0,629100000.0,,,,,,,,,0.115,,,634300000.0,132900000.0,337700000.0,,969000000.0,349200000.0,1106700000.0,-901900000.0,,,,,,,,,,
504835200,,,,,,,,,,,,,,,,,,,114850000.0,,,,,,,,,,25900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,356400000.0,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356400000.0,,356400000.0,,,,,,,,,,
512611200,,,,,,,,,,,,,,,,,,,114676000.0,,,,,,,,,,17600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114676000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,340100000.0,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340100000.0,,340100000.0,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,112156000.0,,,,,,,,,,13100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112156000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,310100000.0,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310100000.0,,310100000.0,,,,,,,,,,
528422400,,128900000.0,73100000.0,1509700000.0,,72000000.0,,,,426400000.0,426400000.0,246200000.0,,,,924200000.0,,,,,,,631600000.0,,591100000.0,,162900000.0,,16400000.0,0.0,,674200000.0,,1509700000.0,,,,,0.0,,122700000.0,,,,133200000.0,,154800000.0,122700000.0,,,,642100000.0,,0.0,631600000.0,,,,,287000000.0,40800000.0,,19000000.0,,,19000000.0,,,,,,918600000.0,,263100000.0,,,,72000000.0,246900000.0,263100000.0,,,,,122700000.0,122700000.0,,,,,41600000.0,,97400000.0,111770000.0,0.0,,585500000.0,,1210900000.0,,,73100000.0,,179400000.0,-568800000.0,,,,,,,,,,,7600000.0,246200000.0,,,,,,,,,591100000.0,,,55800000.0,0.1625,,40800000.0,111770000.0,154800000.0,,-568800000.0,642100000.0,,,,,883600000.0,97400000.0,1309900000.0,,924200000.0,,-843800000.0,,426300000.0,0.0,,,,,,,,,,,,263400000.0,,,,73100000.0,674200000.0,,,,,,,,,0.1625,,,585500000.0,133200000.0,287000000.0,,918600000.0,303200000.0,1210900000.0,-843800000.0,,,,,,,,,,
536371200,,,,,,,,,,,,,,,,,,,114010000.0,,,,,,,,,,18800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114010000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,300800000.0,,,,,,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300800000.0,,300800000.0,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,111250000.0,,,,,,,,,,19400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,331200000.0,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331200000.0,,331200000.0,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,111250000.0,,,,,,,,,,14500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,319400000.0,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319400000.0,,319400000.0,,,,,,,,,,
559958400,,71000000.0,39200000.0,1463100000.0,,55700000.0,,,,220800000.0,220800000.0,378800000.0,,,,902500000.0,,,,,,,455700000.0,,590700000.0,,126900000.0,,-13500000.0,0.0,,677400000.0,,1463100000.0,,,,,0.0,,82100000.0,,,,179200000.0,,171100000.0,82100000.0,,,,794500000.0,,0.0,455700000.0,,,,,416700000.0,37900000.0,,16100000.0,,,16100000.0,,,,,,872400000.0,,91900000.0,,,,55700000.0,225300000.0,91900000.0,,,,,82100000.0,82100000.0,,,,,35400000.0,,53400000.0,110098000.0,0.0,,560600000.0,,1501100000.0,,,39200000.0,,174700000.0,-706600000.0,,,,,,,,,,,-20600000.0,378800000.0,,,,,,,,,590700000.0,,,31800000.0,0.09,,37900000.0,110098000.0,171100000.0,,-706600000.0,794500000.0,,,,,1024000000.0,53400000.0,1424000000.0,,902500000.0,,-824500000.0,,400000000.0,0.0,,,,,,,,,,,,273100000.0,,,,39200000.0,677400000.0,,,,,,,,,0.09,,,560600000.0,179200000.0,416700000.0,,872400000.0,472600000.0,1501100000.0,-824500000.0,,,,,,,,,,
567907200,,,,,,,,,,,,,,,,,,,110098000.0,,,,,,,,,,16200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110098000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,386700000.0,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386700000.0,,386700000.0,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,107934000.0,,,,,,,,,,18400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107934000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,465900000.0,,,,,,,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465900000.0,,465900000.0,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,107808000.0,,,,,,,,,,16600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107808000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,423800000.0,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423800000.0,,423800000.0,,,,,,,,,,
591580800,,112500000.0,61200000.0,1543200000.0,,83600000.0,,,,319700000.0,319700000.0,364900000.0,,,,995000000.0,,,,,,,542200000.0,,607300000.0,,96800000.0,,10100000.0,0.0,,713000000.0,,1543200000.0,,,,,0.0,,65500000.0,,,,138900000.0,,168800000.0,65500000.0,,,,838900000.0,,0.0,542200000.0,,,,,393700000.0,28800000.0,,13000000.0,,,13000000.0,,,,,,935900000.0,,143100000.0,,,,83600000.0,205400000.0,143100000.0,,,,,65500000.0,65500000.0,,,,,39800000.0,,17000000.0,107764000.0,0.0,,548200000.0,,1610100000.0,,,61200000.0,,211100000.0,-771200000.0,,,,,,,,,,,55500000.0,364900000.0,,,,,,,,,607300000.0,,,51300000.0,0.1425,,28800000.0,107764000.0,168800000.0,,-771200000.0,838900000.0,,,,,1260100000.0,17000000.0,1676600000.0,,995000000.0,,-1179600000.0,,416500000.0,0.0,,,,,,,,,,,,319700000.0,,,,61200000.0,713000000.0,,,,,,,,,0.1425,,,548200000.0,138900000.0,393700000.0,,935900000.0,400200000.0,1610100000.0,-1179600000.0,,,,,,,,,,
