date,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualInvestmentsAndAdvances,annualNetIncomeContinuousOperations,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCurrentAccruedExpenses,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyGrossPPE,annualOperatingExpense,annualCashAndCashEquivalents,trailingDeferredIncomeTax,annualTaxProvision,quarterlyTotalRevenue,annualDilutedEPS,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,trailingCostOfRevenue,annualBasicAverageShares,quarterlyOtherNonCashItems,annualTotalRevenue,trailingResearchAndDevelopment,annualCurrentAssets,trailingOperatingExpense,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualOtherShortTermInvestments,annualCommonStockIssuance,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualResearchAndDevelopment,annualOtherNonCurrentAssets,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,trailingNetIncome,trailingNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,annualCostOfRevenue,annualOtherCurrentAssets,annualDilutedAverageShares,quarterlyOtherCurrentAssets,annualNetIncome,annualBeginningCashPosition,quarterlyBasicEPS,annualSellingGeneralAndAdministration,annualFreeCashFlow,annualTotalNonCurrentAssets,quarterlyBasicAverageShares,trailingDepreciationAndAmortization,trailingTaxProvision,quarterlyResearchAndDevelopment,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,trailingStockBasedCompensation,annualNonCurrentDeferredTaxesLiabilities,annualCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualDepreciationAndAmortization,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyNetPPE,trailingOperatingCashFlow,annualAccountsReceivable,annualCapitalStock,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,annualGrossProfit,annualCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,annualStockBasedCompensation,quarterlyCostOfRevenue,annualNetPPE,annualGoodwill,annualOperatingCashFlow,annualSaleOfInvestment,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,quarterlyDilutedEPS,quarterlyFreeCashFlow,annualOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,annualChangeInCashSupplementalAsReported,annualBasicEPS,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,trailingPretaxIncome,annualEndCashPosition,annualPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingOperatingIncome,trailingCapitalExpenditure,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualNonCurrentDeferredRevenue,annualOperatingIncome,trailingTotalRevenue,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyOtherIntangibleAssets,annualGrossPPE,trailingInvestingCashFlow,annualAccountsPayable,annualIncomeTaxPayable,quarterlyDepreciationAndAmortization,trailingEndCashPosition,trailingCashFlowFromContinuingFinancingActivities,trailingChangeInInventory,trailingPurchaseOfBusiness,annualInventory,quarterlyRepaymentOfDebt,trailingCashDividendsPaid,annualRepaymentOfDebt,quarterlyCurrentDebt,annualLongTermDebt,trailingRepaymentOfDebt,trailingBasicAverageShares,quarterlyPurchaseOfInvestment,trailingOtherIncomeExpense,quarterlyLongTermDebt,trailingSaleOfInvestment,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingNetOtherInvestingChanges,quarterlyChangeInInventory,trailingChangesInAccountReceivables,trailingOtherNonCashItems,quarterlyInterestExpense,trailingPurchaseOfInvestment,annualChangeInInventory,trailingNetOtherFinancingCharges,trailingDilutedEPS,annualCashDividendsPaid,quarterlyCashDividendsPaid,annualCurrentDebt,trailingDilutedAverageShares,trailingInterestExpense,trailingCommonStockIssuance,trailingChangeInAccountPayable
,,16500000,,33100000.0,,,,,,,,31800000.0,,,,,,7600000.0,,,,,35200000,,,,,,,,,,,,16500000,,,,,,0.0,0.0,,,,,,,,1000000.0,,,111400000.0,32100000.0,,17900000.0,,,,109200000.0,,,,,154000000.0,12700000.0,,,-1300000.0,,,,,73200000.0,,,0.008889,,,,212089955.0,,,2600000.0,,,,,71600000.0,,,,16900000,,,,,,0.0,16900000,,,,,,,1400000.0,6300000.0,,,,,1000000.0,15300000.0,,,,,,3400000.0,,,,,,0.0,,,0.008889,0.0,,,,212089955.0,,,,,,,,,,7500000.0,7500000.0,,,16900000,187100000.0,,,,,77900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19300000,,36500000.0,,,69900000.0,,,3100000.0,,40600000.0,,,,-6100000.0,,11000000.0,66000000.0,13500000.0,,3900000.0,40500000,0.034444,,300000.0,,,217559220.0,,141900000.0,,116300000.0,,19300000,,-100000.0,,,6300000.0,0.0,-67400000.0,10600000.0,88700000.0,-3800000.0,1000000.0,,69900000.0,-100000.0,1000000.0,-2400000.0,,129300000.0,35500000.0,,19700000.0,,129300000.0,,116300000.0,,,212200000.0,36500000.0,175700000.0,14000000.0,,,-3800000.0,,9100000.0,69100000.0,217559220.0,69100000.0,69900000.0,5400000.0,,50900000.0,63400000.0,95900000.0,,,,2800000.0,175700000.0,,,200000.0,88700000.0,,,,18600000,,,6000000.0,,4500000.0,69500000.0,18600000,-67400000.0,,32400000.0,-28600000.0,,,700000.0,7200000.0,,,,,1100000.0,21300000.0,132800000.0,35500000.0,,,,-100000.0,7200000.0,,69500000.0,26800000.0,,0.0,,71300000.0,,63400000.0,,,,,8100000.0,0.036667,,13500000.0,32400000.0,-59500000.0,,0.0,73800000.0,13500000.0,13500000.0,,,18600000,212200000.0,,66800000.0,,,95900000.0,7300000.0,,,11000000.0,,3100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19600000,,41900000.0,,,,,,,,39100000.0,,,,,,,,,,,43800000,,,,,,,,,,,,19600000,,,,,,0.0,0.0,,,,,,,,1400000.0,,,149000000.0,40500000.0,,22100000.0,,,,127900000.0,,,,,198100000.0,15500000.0,,,,,,,,0.0,,,0.01,,,,219430285.0,,,4000000.0,,,,,104500000.0,,,,19700000,,,,,,0.0,19700000,,,,,,,2600000.0,7600000.0,,,,,2400000.0,19500000.0,,,,,,4700000.0,,,,,,0.0,,,0.01,0.0,,,,219430285.0,,,,,,,,,,88400000.0,88400000.0,,,19700000,240000000.0,,,,,112100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21700000,,55400000.0,,,,,,32500000.0,,45000000.0,,,,,,,,,,,50100000,,,,,,,,,,,,21700000,,,,,,0.0,0.0,,,,,,,,1400000.0,,,170500000.0,54000000.0,,24500000.0,,,,161500000.0,,,,,223400000.0,18900000.0,,,,,,,,100000.0,,,0.011111,,,,220803598.0,,,4400000.0,,,,,109000000.0,,,,21500000,,,,,,0.0,21500000,,,21500000.0,,,,2900000.0,8300000.0,,,,,3000000.0,23300000.0,,,,,,5100000.0,,,,,,0.0,,,0.01,0.0,,,,220803598.0,,,,,,,,,,120000000.0,120000000.0,,,21500000,278800000.0,,,,,117300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25100000,,79500000.0,,,,,,37200000.0,,51700000.0,,,,,,,,,,,57800000,,,,,,,,,,,,25100000,,,,,,0.0,0.0,,,,,,,,1500000.0,,,195300000.0,78000000.0,,28700000.0,,,,213500000.0,,,,,252100000.0,21700000.0,,,,,,,,-100000.0,,,0.012222,,,,223994003.0,,,4900000.0,,,,,109200000.0,,,,24700000,,,,,,0.0,24700000,,,40800000.0,,,,3600000.0,8900000.0,,,,,4000000.0,26600000.0,,,,,,6100000.0,,,,,,0.0,,,0.011111,0.0,,,,223994003.0,,,,,,,,,,162800000.0,162800000.0,,,24700000,331600000.0,,,,,118100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30723000,,101838000.0,,,95781000.0,,,4972000.0,,65047000.0,,,,-6083000.0,,17018000.0,103824000.0,202087000.0,,14104000.0,67967000,0.13,,313000.0,,,668790000.0,,219567000.0,,299416000.0,,30723000,,0.0,,40403000.0,15665000.0,25835000.0,-147705000.0,18923000.0,85236000.0,-7324000.0,626000.0,,95781000.0,-1103000.0,626000.0,46259000.0,40403000.0,225044000.0,101212000.0,,34385000.0,,225044000.0,,299416000.0,,,394346000.0,101838000.0,292508000.0,25098000.0,,,-7324000.0,,18820000.0,0.0,739368000.0,0.0,95781000.0,13527000.0,,81298000.0,138265000.0,94930000.0,,,,5623000.0,292508000.0,,,,85236000.0,,,,29781000,,,15665000.0,,3603000.0,144348000.0,29781000,-147705000.0,,96240000.0,-26170000.0,,,-8908000.0,9694000.0,,,234000.0,,4604000.0,34324000.0,200747000.0,101212000.0,,,,2920000.0,9694000.0,,144348000.0,20854000.0,,0.0,234000.0,100526000.0,,138265000.0,,,,,12308000.0,0.143333,,242490000.0,96240000.0,-136306000.0,,25835000.0,109885000.0,202087000.0,242490000.0,,,29781000,394346000.0,,96923000.0,,,94930000.0,192000.0,,,17018000.0,,4972000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34930000,,138985000.0,,,,,,64456000.0,,70522000.0,21698000.0,,,,,18651000.0,,,,,78166000,,,,,,,,,,,,34930000,,,,,,0.0,0.0,,,,,,,,2108000.0,,,312691000.0,136877000.0,,40424000.0,,,,389590000.0,,,,,334389000.0,29417000.0,,,-7324000.0,,,,,0.0,,,0.033333,,,,1035634185.0,,,6175000.0,,,,,72457000.0,,,,34879000,,,,,,0.0,34879000,,,72421000.0,,,,0.0,11327000.0,,,,,5545000.0,35592000.0,,,,,,7644000.0,,,,,,0.0,,,0.028889,0.0,,,,1182643177.0,,,,,,,,,,320076000.0,320076000.0,,,34879000,473374000.0,,,,,83784000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43768000,,175352000.0,,,,,,81132000.0,,82662000.0,77217000.0,,,,,19158000.0,,,,,90668000,,,,,,,,,,,,43768000,,,,,,0.0,0.0,,,,,,,,1059000.0,,57113000.0,303594000.0,174293000.0,,50179000.0,,,,541385000.0,,,,,380811000.0,32235000.0,,,-7324000.0,,,,,0.0,,,0.042222,,,,1048709146.0,,,6659000.0,,,,,2944000.0,,,,43671000,,,,,,0.0,43671000,,,93161000.0,,,,0.0,11834000.0,,,,,6508000.0,38894000.0,,,,,,8006000.0,,,,,,0.0,,,0.037778,0.0,,,,1185773611.0,,,,,,,,,,407171000.0,464284000.0,,,43671000,556163000.0,,,,,14778000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64702000,,199381000.0,,,,,,92960000.0,,106607000.0,85810000.0,,,,,18052000.0,,,,,116014000,,,,,,,,,,,,64702000,,,,,,0.0,0.0,,,,,,,,1040000.0,,,365238000.0,198341000.0,,72502000.0,,,,556399000.0,,,,,451048000.0,33561000.0,,,-7324000.0,,,,,0.0,,,0.12,,,,524928035.0,,,8344000.0,,,,,83302000.0,,,,61644000,,,,,,0.0,61644000,,,105381000.0,,,,0.0,10728000.0,,,,,10858000.0,41905000.0,,,,,,9407000.0,,,,,,0.0,,,0.102222,0.0,,,,594333958.0,,,,,,,,,,462516000.0,462516000.0,,,61644000,650429000.0,,,,,94030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,93004000,,228356000.0,,,221213000.0,,,3644000.0,,137334000.0,,102344000.0,,-9051000.0,,26069000.0,160721000.0,367177000.0,,37231000.0,140435000,0.373333,,784000.0,,,523374750.0,,425283000.0,,540408000.0,,93004000,,0.0,,71213000.0,25832000.0,157203000.0,-210125000.0,30309000.0,220074000.0,-14431000.0,1166000.0,,221213000.0,-4312000.0,1166000.0,91653000.0,71213000.0,446257000.0,227190000.0,,95339000.0,,446257000.0,,540408000.0,,,777639000.0,228356000.0,549283000.0,35199000.0,,121202000.0,-14431000.0,,28158000.0,0.0,590658750.0,0.0,221213000.0,25835000.0,,130412000.0,306610000.0,237231000.0,,,,9131000.0,549283000.0,,,,220074000.0,,,,81019000,,,25832000.0,,7107000.0,315661000.0,81019000,-210125000.0,,0.0,-249073000.0,,121202000.0,377000.0,11638000.0,,84381000.0,723000.0,,14320000.0,44330000.0,397125000.0,227190000.0,84381000.0,102344000.0,,3101000.0,11638000.0,,315661000.0,40523000.0,,0.0,723000.0,243511000.0,,306610000.0,,,,,131368000.0,0.422222,,438390000.0,0.0,7476000.0,,157203000.0,258444000.0,367177000.0,438390000.0,,,81019000,777639000.0,,236404000.0,,,237231000.0,377000.0,,,26069000.0,,3644000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
