date,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,annualRepaymentOfDebt,quarterlyPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualEbitda,quarterlyPretaxIncome,annualOtherIncomeExpense,quarterlyOperatingExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,trailingGrossProfit,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyBasicAverageShares,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualBeginningCashPosition,trailingOtherIncomeExpense,annualGrossPPE,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,trailingChangeInCashSupplementalAsReported,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyChangesInAccountReceivables,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingNetIncomeContinuousOperations,annualOperatingExpense,trailingOperatingExpense,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyTotalRevenue,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyGrossPPE,annualInvestingCashFlow,trailingNetOtherFinancingCharges,trailingCashDividendsPaid,annualInterestExpense,trailingBeginningCashPosition,trailingNetIncome,quarterlyDilutedEPS,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualPurchaseOfInvestment,quarterlyNetPPE,annualChangesInAccountReceivables,quarterlyTaxProvision,annualTotalRevenue,annualCapitalStock,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,annualDeferredIncomeTax,quarterlyEbitda,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicAverageShares,annualCommonStockIssuance,annualFreeCashFlow,annualChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyRetainedEarnings,annualOperatingIncome,trailingChangeInWorkingCapital,annualNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,trailingCommonStockIssuance,trailingFreeCashFlow,trailingPretaxIncome,annualNetIncome,annualTaxProvision,annualNonCurrentDeferredRevenue,annualPretaxIncome,annualTotalAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,trailingTotalRevenue,annualLongTermDebt,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,annualCurrentDeferredRevenue,annualOtherCurrentAssets,annualCostOfRevenue,trailingInvestingCashFlow,annualAccountsPayable,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,annualBasicEPS,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingTaxProvision,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualStockholdersEquity,annualOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,annualDilutedAverageShares,annualRepurchaseOfCapitalStock,annualDepreciationAndAmortization,quarterlyBasicEPS,annualCashAndCashEquivalents,annualCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualCurrentAssets,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,annualChangeInAccountPayable,quarterlyCurrentAccruedExpenses,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetPPE,trailingNetOtherInvestingChanges,annualCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualOperatingCashFlow,annualOtherNonCurrentAssets,quarterlyAccountsReceivable,annualDilutedEPS,annualNetIncomeCommonStockholders,annualOtherIntangibleAssets,annualChangeInInventory,annualGoodwill,trailingDilutedAverageShares,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingBasicEPS,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,trailingStockBasedCompensation,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,annualOtherShortTermInvestments,annualCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,annualInventory,trailingChangesInAccountReceivables,quarterlyInventory,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfInvestment,trailingDilutedEPS
1995-09-30,,,,,,,,,-15400000.0,,,,,,-74800000.0,,536200000.0,48274000.0,,,,,,,,,,,,,,,,,,4900000.0,,,,,,,,,,,,,,,21400000.0,34500000,,,,,77700000.0,49900000,874700000.0,,,,,,,0.1,,,,874700000.0,,,,,0.0,,5800000.0,,,,24400000.0,,,56200000,,,,,,,21400000.0,-41900000.0,,,,,,,2800000.0,,,,,,,,,,1003400000.0,9300000,,,,,,,,,,,48274000.0,,,,,,6300000.0,,,461400000.0,,,,,,1800000.0,,,,,,0.1,,,9300000,9300000,,-74800000.0,,,,412600000.0,,,,,,,,-14600000.0,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,241000.0,,-60030000.0,,,64614000.0,,283000.0,133341000.0,,,,,,35508000.0,5727000.0,534789000.0,,-34706000.0,,,176243000.0,,-56335000.0,45570000.0,40433000.0,,963499000.0,,5727000.0,,,5727000.0,,2169000.0,6524000.0,,,,,,1132000.0,,,,,91141000.0,,,,16420000.0,35518000,35019000.0,,-121408000.0,,29943000.0,-97823000,963499000.0,-289569000.0,,,21424000.0,,,,,,-19750000.0,907164000.0,,,131418000.0,241000.0,-3000.0,,2186000.0,,-56335000.0,-3297000.0,-54006000.0,,,-94807000,506063000.0,,45358000.0,96297000.0,-42788000.0,,-104988000.0,-43740000.0,40277000.0,,-153692000.0,,,,-5531000.0,-43740000.0,,,,35019000.0,,,,1045588000.0,1045588000.0,10019000,5727000.0,,454820000.0,,-51778000.0,,,,,1132000.0,,,0.77,,,,3016000.0,,,506063000.0,,,974935000.0,534789000.0,21986000.0,-397000.0,,974935000.0,45358000.0,,20416000.0,,5727000.0,10374000.0,10019000,10019000,,-100369000.0,,5184000.0,,454820000.0,,,10374000.0,,907164000.0,,,-14178000.0,,78620000.0,,5184000.0,0.77,35019000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,,,,,,,,,-20600000.0,5700000.0,,,,,6100000.0,,663700000.0,57372000.0,,,,,,,-101500000.0,,,,,,,,,,,8000000.0,,,,,,,,,,,,,,,14300000.0,41200000,,,,-86000000.0,71800000.0,61800000,1019200000.0,,,,,,,0.1,,,,1019200000.0,,,,,113800000.0,,-4300000.0,,,,6200000.0,,,68800000,,,,,,,-71700000.0,-11800000.0,,,,,,,900000.0,,,,,,,,,,1163700000.0,11600000,,,,,,,,,,,57372000.0,,,,,,7000000.0,,,499700000.0,,,,,,-300000.0,,,,,,0.1,,,11600000,11600000,,-79900000.0,,,,450400000.0,,,1300000.0,,,,,-14200000.0,,,,5300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,,,,-20400000.0,,,,,,-39300000.0,,677800000.0,58640000.0,,,,,,,55500000.0,,,,,,,,,,,6700000.0,,,,,,,,,,,,,,,24800000.0,44700000,,,,25600000.0,-22800000.0,65100000,1040900000.0,,,,,,,0.105,,,,1040900000.0,,,,,12300000.0,,5400000.0,,,,-11600000.0,,,74200000,,,,,,,50400000.0,-48000000.0,,,,,,,3600000.0,,,,,,,,,,1177800000.0,12300000,,,,,,,,,,,58640000.0,,,,,,9100000.0,,,487200000.0,,,,,,-4700000.0,,,,,,0.105,,,12300000,12300000,,-13700000.0,,,,431900000.0,,,3400000.0,,,,,-11900000.0,,,,4200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,,,,,,,,,-19100000.0,,,,,,-73500000.0,,752700000.0,58640000.0,,,,,,,-14400000.0,,,,,,,,,,,7900000.0,,,,,,,,,,,,,,,30000000.0,46700000,,,,-35400000.0,90600000.0,65800000,1142100000.0,,,,,,,0.115,,,,1142100000.0,,,,,3100000.0,,8500000.0,,,,11600000.0,,,72900000,,,,,,,-5400000.0,-48600000.0,,,,,,,3300000.0,,,,,,,,,,1294300000.0,15300000,,,,,,,,,,,58640000.0,,,,,,7100000.0,,,528900000.0,,,,,,-43500000.0,,,,,,0.115,,,14400000,15300000,,-108900000.0,,,,465900000.0,,,1100000.0,,,,,,,,,4400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,803395000.0,,-95700000.0,,,88446000.0,,4532000.0,182614000.0,,,,,,-21276000.0,,754932000.0,,-393000.0,,,181220000.0,,-82207000.0,-35300000.0,5727000.0,,1443349000.0,,,,,,,4719000.0,8844000.0,,,,,,1585000.0,,,,,126214000.0,,,0.0,26035000.0,49589000,50872000.0,,-198146000.0,-102346000.0,41620000.0,-133025000,1443349000.0,-276748000.0,,,31344000.0,,,,,,-1470000.0,1361142000.0,4600000.0,,182089000.0,803395000.0,73900000.0,,-15241000.0,,-82207000.0,-13906000.0,-6593000.0,,,-128657000,593127000.0,,56134000.0,203100000.0,-103011000.0,18600000.0,-76311000.0,-48463000.0,55875000.0,,-127976000.0,,,,-6481000.0,-48463000.0,,,,53431000.0,,,,1361142000.0,1361142000.0,13672000,5334000.0,,525815000.0,,-66873000.0,,,,,1585000.0,,,0.905,,,,4368000.0,,,593127000.0,,,,754932000.0,-5641000.0,34594000.0,,,56134000.0,-72301000.0,27568000.0,,,14888000.0,14572000,16231000,,-74248000.0,,29200000.0,,525815000.0,,4700000.0,14888000.0,,1361142000.0,,,,,95135000.0,,29200000.0,0.905,50872000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,,,,,,,,,-26000000.0,5300000.0,,,,,-6400000.0,,829100000.0,62875692.0,,,,,,,-19800000.0,,,,,,,,,,,8600000.0,,,,,,,,,,,,,,,29000000.0,55400000,,,,-34800000.0,19900000.0,81400000,1254500000.0,,,,,,,0.12,,,,1254500000.0,,,,,59400000.0,,2500000.0,,,,7700000.0,,,91200000,,,,,,,-5800000.0,-49300000.0,,,,,,,2300000.0,,,,,,,,,,1417600000.0,15000000,,,,,,,,,,,62875692.0,,,,,,9800000.0,,,573100000.0,,,,,,-18000000.0,,,,,,0.12,,,16700000,16700000,,-41200000.0,,,,506100000.0,,,3100000.0,,,,,,,,,15800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,-26800000.0,,,,,,-89200000.0,,835200000.0,63320000.0,,,,,,,18300000.0,,,,,,,,,,,9300000.0,,,,,,,,,,,,,,,42500000.0,57000000,,,,-45000000.0,81800000.0,83800000,1363300000.0,,,,,,,0.115,,,,1363300000.0,,,,,4300000.0,,15700000.0,,,,-9900000.0,,,94200000,,,,,,,-2500000.0,-50700000.0,,,,,,,2500000.0,,,,,,,,,,1550900000.0,14700000,,,,,,,,,,,63320000.0,,,,,,10400000.0,,,696800000.0,,,,,,17700000.0,,,,,,0.115,,,16400000,16400000,,-134200000.0,,,,614900000.0,,,5100000.0,,,,,,,,,13800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,,,,-27800000.0,,,,,,-142900000.0,,1216300000.0,65000000.0,,,,,,,-39600000.0,,,,,,,,,,,9300000.0,,,,,,,,,,,,,,,38600000.0,64300000,,,,-62200000.0,337500000.0,92100000,1562300000.0,,,,,,,0.25,,,,1562300000.0,,,,,236800000.0,,6300000.0,,,,171000000.0,,,103100000,,,,,,,-23600000.0,-52500000.0,,,,,,,4000000.0,,,,,,,,,,1926500000.0,16900000,,,,,,,,,,,67600000.0,,,,,,11000000.0,,,691900000.0,,,,,,-15400000.0,,,,,,0.26,,,21300000,21300000,,-205100000.0,,,,596200000.0,,,4000000.0,,,,,-11400000.0,,,,21100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,1290328000.0,,-24000000.0,,,129169000.0,,692000.0,245217000.0,,,,,,66265000.0,10353000.0,1234681000.0,,5019000.0,,,443148000.0,,-116264000.0,17100000.0,5334000.0,,2176727000.0,,10353000.0,,,10353000.0,,6530000.0,13096000.0,,,,,,1342000.0,,,,,167717000.0,,,,49095000.0,75380000,65999000.0,,-425423000.0,-283423000.0,3948000.0,-169837000,2176727000.0,-597324000.0,,,40296000.0,,,,,,-32226000.0,2060463000.0,,,252080000.0,1290328000.0,20739000.0,,16424000.0,,-116264000.0,-14289000.0,-163781000.0,,,-161266000,834169000.0,,66427000.0,321239000.0,-266228000.0,,-234328000.0,-55647000.0,84363000.0,,-172235000.0,,,,-5170000.0,-55647000.0,,,,78484000.0,,,,2176214000.0,2176214000.0,19399000,10353000.0,,720119000.0,,-95852000.0,,,,,1342000.0,,,0.99,,,,8571000.0,,,834169000.0,,,,1234681000.0,40924000.0,1411000.0,,,74993000.0,,39771000.0,,10353000.0,6900000.0,11599000,24084000,,-216824000.0,,5932000.0,,720119000.0,,,6900000.0,,2060463000.0,,,-45252000.0,,159195000.0,,5932000.0,0.98,65999000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
