date,annualOperatingIncome,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualResearchAndDevelopment,quarterlyOtherNonCashItems,trailingOperatingIncome,annualAccountsPayable,annualFreeCashFlow,annualCommonStockIssuance,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualEndCashPosition,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,trailingNetOtherInvestingChanges,quarterlyRetainedEarnings,trailingTotalRevenue,annualChangeInWorkingCapital,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,trailingNetIncome,trailingTaxProvision,trailingPretaxIncome,quarterlyOperatingIncome,quarterlyTotalRevenue,trailingEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,annualPretaxIncome,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualInvestmentsAndAdvances,quarterlyTotalAssets,annualCurrentDebt,annualNetIncomeContinuousOperations,quarterlyFreeCashFlow,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualSaleOfInvestment,quarterlyOtherCurrentAssets,annualStockholdersEquity,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualLongTermDebt,annualRepurchaseOfCapitalStock,annualBasicEPS,annualCurrentAssets,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualCurrentAccruedExpenses,annualRetainedEarnings,annualCurrentLiabilities,quarterlyEndCashPosition,trailingNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,annualTotalAssets,annualTaxProvision,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyInventory,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,annualAccountsReceivable,annualOtherIncomeExpense,annualNetPPE,trailingGrossProfit,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyPretaxIncome,annualOperatingCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyCapitalStock,annualDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,annualEbitda,quarterlyNetPPE,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,annualGrossPPE,quarterlyCapitalExpenditure,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualBasicAverageShares,trailingCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,trailingOtherNonCashItems,annualPurchaseOfBusiness,annualCapitalExpenditure,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,annualInvestingCashFlow,quarterlyOperatingCashFlow,trailingInvestingCashFlow,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualIncomeTaxPayable,quarterlyGrossPPE,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,trailingInterestExpense,annualChangesInAccountReceivables,quarterlyAccountsPayable,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,trailingNetIncomeContinuousOperations,trailingChangeInInventory,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingStockBasedCompensation,annualDilutedAverageShares,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,quarterlyStockBasedCompensation,annualGoodwill,annualInventory,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualInterestExpense,quarterlyBasicEPS,annualCapitalStock,annualPurchaseOfInvestment,quarterlyBasicAverageShares,annualTotalRevenue,trailingBasicAverageShares,trailingDeferredIncomeTax,trailingRepurchaseOfCapitalStock,trailingSellingGeneralAndAdministration,trailingChangesInAccountReceivables,trailingDilutedEPS,trailingBasicEPS,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,trailingCommonStockIssuance,quarterlyChangeInAccountPayable,trailingSaleOfInvestment,trailingPurchaseOfInvestment,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,annualDeferredIncomeTax,trailingDilutedAverageShares
1970-01-01 00:00:00.812419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000000,34000000,,,,,-7900000,,,,,,,,,,-7900000,-7900000,-0.12,,,,,,65833333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000000,,,,,,,,,,,-0.12,,,65833333.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.820368000,-1500000.0,,,146800000.0,161100000.0,,,,,23700000.0,-135700000.0,72100000.0,107500000.0,,,307900000.0,,,161100000.0,,0.0,,17300000.0,,-51600000.0,,,,-6300000.0,367900000.0,39300000.0,,,,-91000000,41900000,,307900000.0,-22300000.0,-29900000.0,-11900000,,,475400000.0,84000000.0,-29900000.0,,80000000.0,,52900000.0,-11900000,-11900000,,198000000.0,61400000.0,,17300000.0,167500000.0,,0.0,-15400000.0,140800000.0,,-0.4725,107500000.0,,-29900000.0,,,,-51600000.0,146800000.0,,,,167500000.0,475400000.0,7600000.0,,,18600000.0,,140800000.0,9000000.0,,20300000.0,,,,,,,169900000.0,,,,,-26700000.0,78500000.0,367900000.0,,,39300000.0,,,,-0.4725,39300000.0,39300000.0,,17100000.0,169900000.0,,,,,84000000.0,201300000.0,,,,63280423.0,,,198000000.0,,,-31400000.0,0.0,31600000.0,,,-109000000.0,,,-115300000.0,,,-31400000.0,,,201300000.0,,,,,23700000.0,,,20300000.0,,,,,,,39100000.0,,,,39100000.0,,,63280423.0,-91000000,7700000.0,,,,9000000.0,0.0,,,,,,,,,131400000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.828230400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500000,43500000,,,,,-7800000,,,,,,,,,,-7800000,-7800000,-0.12,,,,,,65000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500000,,,,,,,,,,,-0.12,,,65000000.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.836092800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48100000,48100000,,,,,-12000000,,,,,,,,,,-12000000,-12000000,-0.18,,,,,,66666667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48100000,,,,,,,,,,,-0.18,,,66666667.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.844041600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55400000,55400000,,,,,27900000,,,,,,,,,,27900000,27900000,0.4275,,,,,,65263158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55400000,,,,,,,,,,,0.4275,,,65263158.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.851990400,33400000.0,,,172000000.0,742400000.0,,,,,38500000.0,-135800000.0,1300000.0,468900000.0,,,914400000.0,,,742400000.0,,0.0,,212200000.0,,-51600000.0,,41800000.0,,-296800000.0,594300000.0,158400000.0,,,,-113600000,68600000,,914400000.0,-5400000.0,-18100000.0,-26200000,,,1063200000.0,92800000.0,-18100000.0,,97200000.0,,85000000.0,-26200000,-26200000,,312700000.0,69300000.0,1400000.0,212200000.0,148800000.0,,0.0,-53400000.0,719500000.0,-1000000.0,-0.285,468900000.0,,-18100000.0,,,,-51600000.0,172000000.0,,,,148800000.0,1063200000.0,12700000.0,,,27900000.0,,719500000.0,11500000.0,,22900000.0,,,,,,,281600000.0,,,,,-1700000.0,130600000.0,594300000.0,,,158400000.0,,,,-0.285,158400000.0,158400000.0,,61300000.0,281600000.0,,,,,92800000.0,342200000.0,,,,63508772.0,,-2500000.0,312700000.0,,,-60600000.0,0.0,39300000.0,,,-134100000.0,,,-461800000.0,,,-60600000.0,,,342200000.0,,,,,38500000.0,,,22900000.0,,,,,,,40700000.0,,,,40700000.0,,,63508772.0,-113600000,119100000.0,,,,11500000.0,-29200000.0,,,,,,,-32300000.0,,215600000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.859766400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70200000,70200000,,,,,-21100000,,,,,,,,,,-21100000,-21100000,-0.33,,,,,,63939394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70200000,,,,,,,,,,,-0.33,,,63939394.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.867628800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84800000,84800000,,,,,-24100000,,,,,,,,,,-24100000,-24100000,-0.375,,,,,,64266667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84800000,,,,,,,,,,,-0.375,,,64266667.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.875577600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95400000,95400000,,,,,-29900000,,,,,,,,,,-29900000,-29900000,-0.465,,,,,,64301075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95400000,,,,,,,,,,,-0.465,,,64301075.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.883526400,46600000.0,,,262000000.0,896800000.0,,,,,70300000.0,-181500000.0,8300000.0,361000000.0,,,1158800000.0,,,896800000.0,,0.0,,176500000.0,,-69700000.0,,60000000.0,,-88300000.0,910500000.0,55800000.0,,,,-203800000,97000000,,1158800000.0,-94400000.0,-111000000.0,-35900000,,,1271500000.0,122300000.0,-111000000.0,,170800000.0,,130000000.0,-35900000,-35900000,,475200000.0,122600000.0,64500000.0,176500000.0,112700000.0,,0.0,-900000.0,870800000.0,-9600000.0,-1.725,361000000.0,,-111000000.0,,,,-69700000.0,262000000.0,,,,112700000.0,1271500000.0,16600000.0,,,48200000.0,,870800000.0,18500000.0,,26000000.0,,,,,,,435300000.0,,,,,-3600000.0,217400000.0,910500000.0,,,55800000.0,,,,-1.725,55800000.0,55800000.0,,94800000.0,435300000.0,,,,,122300000.0,531800000.0,,,,64347826.0,,-6700000.0,475200000.0,,,-96500000.0,0.0,158400000.0,,,-177900000.0,,,-206100000.0,,,-96500000.0,,,531800000.0,,,,,70300000.0,,,26000000.0,,,,,,,69400000.0,,,,69400000.0,,,64347826.0,-203800000,-102600000.0,,,,18500000.0,-3500000.0,,,,,,,-4400000.0,,347400000.0,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.891302400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100800000,100800000,,,,,-27700000,,,,,,,,,,-27700000,-27700000,-0.4275,,,,,,64795322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100800000,,,,,,,,,,,-0.4275,,,64795322.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.899164800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108300000,108300000,,,,,-16300000,,,,,,,,,,-16300000,-16300000,-0.2475,,,,,,65858586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108300000,,,,,,,,,,,-0.2475,,,65858586.0,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.907113600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108600000,108600000,,,,,-27100000,,,,,,,,,,-27100000,-27100000,-0.4125,,,,,,65696970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108600000,,,,,,,,,,,-0.4125,,,65696970.0,,,,,,,,,,,,,,,,,,
